fldName,fldDescriptionHeading,fldDescriptionText,fldNpdidField,fldDescriptionDateUpdated
GULLFAKS SØR,Status,A project to develop resources in the western parts of the area is ongoing. Prolonged gas injection to increase oil recovery from some of the Gullfaks Sør reservoirs is being evaluated. A subsea gas compressor will be installed on the field in order to boost gas production.,43699,2013-05-01
GUNGNE,Development,Gungne is a gas condensate field located in the Sleipner area in the central part of the North Sea. The water depth in the area is 83 metres. Gungne produces via three wells drilled from Sleipner A.,43464,2013-05-01
GUNGNE,Reservoir,"The reservoir consists of sandstones of the Skagerrak Formation of the Triassic age. The reservoir depth is about 2 800 metres. The reservoir quality is generally good, but the reservoir is segmented, and lateral shale layers act as internal barriers.",43464,2012-08-23
GUNGNE,Recovery strategy,Gungne is recovered by pressure depletion.,43464,2012-08-23
GUNGNE,Transport,Gas and condensate from Sleipner Øst and Gungne are processed on Sleipner A. Processed gas from Sleipner A is mixed with gas from Troll and exported in Zeepipe to Zeebrugge.,43464,2012-08-23
GYDA,Development,"Gyda is an oil field located between Ula and Ekofisk in the southern part of the North Sea. The water depth in the area is 66 metres. The field has been developed with a combined drilling, accommodation and processing facility with a steel jacket.",43492,2012-08-23
GYDA,Reservoir,Gyda consists of three reservoir areas in Upper Jurassic sandstones of the Ula Formation. The reservoir depth is about 4 000 metres.,43492,2012-08-23
GYDA,Recovery strategy,The field is produced by water injection as the drive mechanism for the main part of the field. Pressure support from the gas cap and the aquifer are drive mechanisms for other parts of the field.,43492,2013-05-01
GYDA,Transport,The oil is transported to Ekofisk via the oil pipeline from Ula and further in Norpipe to Teesside. The gas is transported in a dedicated pipeline to Ekofisk for onward transport in Norpipe to Emden.,43492,2012-08-23
GYDA,Status,Gyda is a mature field in the tail phase and experiences increasing water production and challenges in maintaining the oil production. Work is ongoing to prolong the lifetime of the field. This includes further development of the Gyda South area which still has a good reserve potential. In 2013 a new producer will be drilled on Gyda South and an existing producer in the area will be converted to water injection. Opportunities to prolong the lifetime of the field include evaluations of potential third party tie-ins.,43492,2013-05-01
HEIDRUN,Development,"The Heidrun field is located on Haltenbanken in the Norwegian Sea. The water depth is about 350 metres. The field has been developed with a floating concrete tension leg platform, installed over a subsea template with 56 well slots. The northern part of the field is developed with subsea facilities. The PDO for the Heidrun north flank was approved on in May 2000.",43771,2013-05-01
HEIDRUN,Reservoir,"The reservoir consists of sandstones in the Garn, Ile, Tilje and Åre Formations of Early and Middle Jurassic age. The reservoir is heavily faulted. The Garn and Ile Formations have good reservoir quality, while the Tilje and Åre Formations are more complex. The reservoir depth is about 2 300 metres.",43771,2013-05-01
HEIDRUN,Recovery strategy,"The recovery strategy for the field is pressure maintenance using water and gas injection in the Garn and Ile Formations. In the more complex part of the reservoir, in the Tilje and Åre Formations, the main recovery strategy is water injection. Some segments are also produced by pressure depletion. Optimisation of the drainage strategy is under evaluation and was reported to the NPD in 2011. Several methods to improve the recovery and prolong the lifetime of the field are evaluated, including increased number of wells, possible implementation of new drilling technology and EOR methods.",43771,2012-08-23
HEIDRUN,Transport,The oil is transferred to tankers at the field and shipped to Mongstad and Tetney (UK). The gas is transported by pipeline to Tjeldbergodden and through Åsgard Transport to Kårstø.,43771,2012-08-23
HEIDRUN,Status,"New well targets are continuously evaluated in an effort to increase oil recovery. Light Well Interventions have resulted in increased oil recovery. Pilots to improve recovery are being assessed, and some have been implemented. In addition, there are ongoing technical studies to identify potential third-party tie-back candidates to Heidrun.",43771,2013-05-01
HEIMDAL,Development,"Heimdal is a gas field located in the central part of the North Sea. The water depth in the area is 120 metres. The field has been developed with an integrated drilling, production and accommodation facility with a steel jacket (HMP1). The Heimdal Jurassic development was approved in October 1992. A PDO for Heimdal Gas Centre (HGS) was approved in January 1999. This included a new riser facility (HRP), connected by a bridge to HMP1. Heimdal is now mainly a processing centre for other fields. Atla, Huldra, Skirne and Vale deliver gas to Heimdal. In addition, gas from Oseberg is transported via Heimdal.",43590,2013-05-01
HEIMDAL,Reservoir,"The reservoir consists of sandstones of the Heimdal Formation of Paleocene age, deposited as sub-marine fan systems. The reservoir depth is about 2 100 metres.",43590,2012-08-23
HEIMDAL,Recovery strategy,The field has been recovered by pressure depletion. Heimdal will continue to produce small amounts of gas until 2014.,43590,2013-05-01
HEIMDAL,Transport,"Originally, gas from Heimdal was sent in Statpipe to Kårstø and on to the Continent, but now can also be sent in Vesterled to St Fergus in the United Kingdom. After Heimdal Gas centre was established, a new gas pipeline was connected to the existing gas pipeline from Frigg to St Fergus. A gas pipeline has also been laid from Heimdal to Grane for gas injection. Condensate is transported by pipeline to Brae in the British sector.",43590,2013-05-01
HEIMDAL,Status,"The licensees are working to identify new gas resources that can be tied to Heimdal to prolong the lifetime of the gas centre. Valemon is a new candidate that can transport gas via Heimdal when Huldra gas export via Heimdal is ended, probably in 2014.",43590,2013-05-01
HOD,Development,"Hod is an oil field located 13 kilometres south of the Valhall field in the southern part of the North Sea. The water depth is 72 metres. The field is developed with an unmanned production facility, which is remotely controlled from the Valhall field. The PDO for the Hod Sadel area was approved in June 1994.",43485,2013-05-01
HOD,Reservoir,"The reservoir consists of chalk in the Ekofisk, Tor and Hod Formations of Early Paleocene and Late Cretaceous age. The reservoir depth is approximately 2 700 metres. The field consists of the three structures: Hod Vest, Hod Øst and Hod Sadel. Hod Sadel connects Hod to Valhall and produces through four wells drilled from Valhall.",43485,2013-05-01
HOD,Recovery strategy,The field has been produced by pressure depletion. Gas lift is used in two wells to increase production. A water injection pilot was started in 2011 and full field water injection is also being considered in connection with a further development of the field.,43485,2012-08-23
HOD,Transport,Oil and gas are transported in a shared pipeline to Valhall for further processing. The transport systems to Teesside and Emden are used for onward transport.,43485,2012-08-23
HOD,Status,The field is in the tail phase and the production from Hod Øst and Hod Vest was closed down in 2012. There are plans for redevelopment which can extend the lifetime of the field. The operator has applied for licence extension from 2015.,43485,2013-05-01
HULDRA,Development,"Huldra is a gas condensate field located north of Oseberg in the northern part of the North Sea. The water depth in the area is 125 metres. The field is developed with a wellhead facility with a simple process plant. The facility is remotely operated from Veslefrikk B, 16 kilometres away.",97002,2013-05-03
HULDRA,Reservoir,"The reservoir is in Middle Jurassic sandstones of the Brent Group in a rotated fault block. The reservoir initially had high pressure and high temperature and lies at a depth of 3 500 – 3 900 metres. There are many small faults in the field, and reservoir communication is uncertain, but the production history indicates two main segments without pressure communication.",97002,2013-05-03
HULDRA,Recovery strategy,"Huldra is produced by pressure depletion. Low pressure production began in 2007, after a gas compressor was installed on the field.",97002,2013-05-03
HULDRA,Transport,"Following first stage separation, the wet gas is transported to Heimdal for further processing and export. The condensate is transported to Veslefrikk for processing and export. The Huldrapipe to Heimdal is planned to be utilized by Valemon from 2014.",97002,2013-05-03
HULDRA,Status,"Huldra is in the tail production phase, but maintains the well potential, and the decline has been less than expected.",97002,2013-05-03
HYME,Development,"Hyme is located about 19 kilometres northeast of the Njord field and about 10 kilometres west of Draugen. The water depth in the area is about 260 metres. Hyme will be developed with a standard subsea template with four well slots. Hyme is connected to the Njord facility with a production pipeline, a water injection pipeline, and a pipeline for gas lift. The development plan includes one production well and one water injection well.",20474183,2013-05-08
HYME,Reservoir,The reservoir contains oil and gas in the Lower Jurassic Tilje Formation. The reservoir is located at a depth of about 2 150 metres. The quality of the reservoir is good.,20474183,2013-05-08
HYME,Recovery strategy,The drainage strategy is a two-branched well on the top of the structure and water injection for pressure support.,20474183,2013-05-08
HYME,Transport,Oil and gas will be transported via the Njord facility.,20474183,2013-05-08
HYME,Status,The field came on stream in February 2013.,20474183,2013-05-08
ISLAY,Development,Islay straddles the border between the UK and Norwegian sectors in the northern North Sea. The water depth is 122 metres. Islay is developed with one well tied to the Forvie manifold on UK side.,21105675,2013-05-03
ISLAY,Reservoir,The reservoir lies at a depth of 3 700 - 3 900 metres and contains gas condensate in Middle Jurassic sandstones of the Brent Formation.,21105675,2013-05-03
ISLAY,Recovery strategy,The field is produced by pressure depletion.,21105675,2013-05-03
ISLAY,Transport,"Production is routed via the Forvie-Alwyn pipeline to the British Alwyn field for separation. The gas is exported via the FUKA pipeline to St Fergus in Scotland, whereas the liquids are exported to the Sullom Voe terminal in the Shetland Islands.",21105675,2013-05-03
ISLAY,Status,Production started in April 2012.,21105675,2013-05-03
JETTE,Development,Jette is located about six kilometres south of the Jotun Field. Water depth is about 127 metres. Jette will be developed with a subsea template tied to the Jotun A facility.,21613906,2013-05-08
JETTE,Reservoir,"The reservoir is in the Heimdal Formation, which is a sub-marine fan system of the Late Paleocene age and lies at a depth of approximately 2 200 metres.",21613906,2013-05-08
JETTE,Recovery strategy,Jette will be produced with natural pressure support from aquifer.,21613906,2013-05-08
JETTE,Transport,The wellstream will go to Jotun A and further to Jotun B for processing and loading.,21613906,2013-05-08
JETTE,Status,The PDO was approved in February 2012. Production is planned to start in the second quarter of 2013.,21613906,2013-05-08
JOTUN,Development,"Jotun is an oil field located 25 kilometres north of Balder in the central part of the North Sea. The water depth in the area is 126 metres. The field has been developed with a combined accommodation, production and storage vessel (FPSO), “Jotun A”, and a wellhead facility, Jotun B. Jotun is integrated with Balder and processes gas from Balder and oil from the Jurassic reservoir in the Ringhorne deposit.",43604,2013-05-03
JOTUN,Reservoir,"The Jotun field comprises three structures. The easternmost structure has a small gas cap. The reservoirs consist of sandstones in the Heimdal Formation of Paleocene age. The reservoirs are deposited in a sub-marine fan system and lie at a depth of about 2 000 metres. To the west, the reservoir quaility is good, while the shale content increases towards the east.",43604,2013-05-03
JOTUN,Recovery strategy,"The field is recovered by pressure support from the aquifer. Produced water is injected in the Utsira Formation, and is no longer used for pressure support. Gas lift is used in all the producing wells.",43604,2013-05-03
JOTUN,Transport,The “Jotun FPSO” is an integrated part of the Balder and Ringhorne facilities. Ringhorne delivers gas and oil to the “Jotun FPSO”. Excess gas from Balder is routed to Jotun for gas export. Jotun processes and exports the rich gas via Statpipe to Kårstø. The oil is exported via the production vessel at Jotun to tankers on the field.,43604,2013-05-03
JOTUN,Status,"The field is in the tail production phase. Water cut has continued to rise, and is now about 97 per cent of the wellstream. Jette, a small oilfield nearby, will be tied-in and production via Jotun is planned to start in the second quarter of 2013. Jotun is expected to produce until 2021.",43604,2013-05-03
KNARR,Development,"Knarr is located approximately 50 kilometres northeast of Snorre. The water depth is 410 metres. Knarr is being developed with an FPSO and two subsea templates for production and injection, connected to a subsea manifold.",20460988,2013-05-08
KNARR,Reservoir,The reservoir lies at a depth of about 3 800 metres and contains oil in Lower Jurassic sandstones in the Cook Formation.,20460988,2013-05-08
KNARR,Recovery strategy,The production strategy will include pressure maintenance by water injection.,20460988,2012-08-23
KNARR,Transport,"Oil will be offloaded from the Knarr FPSO to tankers, and the gas will be routed in a new gas pipeline to the Far North Liquids and Associated Gas System (FLAGS) and exported to St Fergus in the UK.",20460988,2013-05-08
KNARR,Status,The FPSO and subsea facilities are under construction. Drilling of development wells will start in summer 2013 and production is planned to start in May 2014.,20460988,2013-05-08
KRISTIN,Development,"Kristin is a gas condensate field in the Norwegian Sea. The field is developed with four subsea templates tied back to a semi-submersible facility for processing, Kristin Semi. The water depth in the area is about 370 metres. Provision has been made for tie-in and processing of other deposits in the Kristin area. Tyrihans is tied back to Kristin and started production in 2009.",1854729,2012-08-23
KRISTIN,Reservoir,"The reservoirs are in Jurassic sandstones in the Garn, Ile and Tofte Formations and contain gas and condensate that were initially under high pressure and temperatures. The reservoirs lie at a depth of 4 600 metres. The reservoir quality is generally good, but low permeability in the Garn Formation and flow barriers in the Ile and Tofte Formations contribute to a rapid decline in reservoir pressure during production.",1854729,2013-05-03
KRISTIN,Recovery strategy,Kristin is recovered by pressure depletion.,1854729,2012-08-23
KRISTIN,Transport,The wellstream is processed at Kristin and the gas is transported in a pipeline to Åsgard Transport and further to Kårstø. Light oil is transferred to Åsgard for storage and export. Condensate from Kristin is sold as oil (Halten Blend).,1854729,2013-05-03
KRISTIN,Status,"The reservoir pressure at Kristin is decreasing faster than expected, leading to challenges such as production of water and sand. Work is ongoing to find technical solutions to production and drilling challenges related to pressure decrease and water breakthrough in wells. Low pressure production (LPP) from the reservoir will be implemented starting in 2014. This will contribute to improved recovery. Work is being done on the development of additional resources in nearby segments. Kristin is evaluated as a possible processing centre for other discoveries in the area. Kristin is planned to host the cross-over between Polarled and Åsgard Transport.",1854729,2013-05-03
KVITEBJØRN,Development,"Kvitebjørn is a gas condensate field located in the eastern part of the Tampen area, in the northern part of the North Sea. Water depth in the area is about 190 metres. The field is developed with an integrated accommodation, drilling and processing facility with a steel jacket. An amended PDO for Kvitebjørn was approved in December 2006.",1036101,2013-05-03
KVITEBJØRN,Reservoir,The main reservoir consists of Middle Jurassic sandstones of the Brent Group. Discoveries have also been made in the Cook- and Statfjord Formations. The reservoir lies at a depth of approximately 4 000 metres and initially had high temperature and high pressure. The reservoir quality is good.,1036101,2013-05-03
KVITEBJØRN,Recovery strategy,The field is recovered by pressure depletion.,1036101,2013-05-03
KVITEBJØRN,Transport,"Rich gas is transported through a dedicated pipeline to Kollsnes, while condensate is transported in a pipeline tied to the Troll Oil Pipeline II for onward transport to Mongstad.",1036101,2013-05-03
KVITEBJØRN,Status,"Drilling on Kvitebjørn is challenging due to depleted reservoir pressure. A new infill well was drilled in 2012 and a second is being drilled in 2013. Development of the east flank of the field is being considered. Gas pre-compression will be installed on the platform, with start-up in December 2013. Modifications are being made to prepare for tie-in of the Valemon field in 2014.",1036101,2013-05-03
LILLE-FRIGG,Status,No activity.,43583,2012-08-23
MARTIN LINGE,Development,"Martin Linge is located near the border to the British sector, about 42 kilometres west of Oseberg. The water depth in the area is 100 – 120 metres. Martin Linge will be developed with a fully integrated fixed production platform with an FSO for oil and condensate storage. The wells will be drilled by a mobile jack-up rig. The installation will be supplied with power from shore.",21675447,2013-05-08
MARTIN LINGE,Reservoir,"The main reservoir is structurally complex, and contains gas and condensate at high temperatures and pressure. There are three reservoirs in Middle Jurassic sandstones in the Brent Group at a depth of 3 700 – 4 400 metres. In addition, the field contains oil in the Frigg Formation of Eocene age at approximately 1 750 metres. The Frigg Formation has good reservoir quality.",21675447,2013-05-08
MARTIN LINGE,Recovery strategy,"The gas reservoir will be produced by pressure depletion, whereas the oil production from the Eocene reservoir will be supported by natural aquifer drive and gas lift. Produced water will be re-injected into a disposal reservoir.",21675447,2013-05-08
MARTIN LINGE,Transport,"Rich gas will be transported through a pipeline to the FUKA gas transport system on the UK sector, and oil and condensate will be exported via tankers from the FSO.",21675447,2013-05-08
MARTIN LINGE,Status,Production is planned to start by the end of 2016.,21675447,2013-05-08
MARULK,Development,Marulk is a gas and condensate field located about 25 kilometres southwest of the Norne field. The water depth in the area is about 370 metres. Marulk is developed with a subsea template tied back to the Norne vessel.,18212090,2013-05-03
MARULK,Reservoir,The reservoir contains gas and condensate in Cretaceous sandstones in the Lysing and Lange Formations at a depth of about 2 800 metres.,18212090,2013-05-03
MARULK,Recovery strategy,Marulk is produced by pressure depletion.,18212090,2013-05-03
MARULK,Transport,The wellstream is sent to the Norne vessel for processing. The gas is then transported to Åsgard Transport and further to Kårstø.,18212090,2013-05-03
MARULK,Status,Gas production started in April 2012. This is the first Eni operated field in Norway.,18212090,2013-05-03
MIKKEL,Development,"Mikkel is a gas condensate field located in the eastern part of the Norwegian Sea, about 30 kilometres north of Draugen. The water depth in the area is 220 metres. The field has been developed with two subsea templates tied back to Åsgard B. A gas compression facility at Midgard was approved in 2012.",1630514,2013-05-03
MIKKEL,Reservoir,"The field has a 300-metre thick gas condensate column and a thin underlying oil zone. The reservoir consists of Jurassic sandstones in the Garn, Ile and Tofte Formations in six structures separated by faults, all with good reservoir quality. The reservoir depth is approximately 2 500 metres.",1630514,2012-08-23
MIKKEL,Recovery strategy,Mikkel is recovered by pressure depletion.,1630514,2012-08-23
MIKKEL,Transport,The wellstream from Mikkel is combined with the wellstream from the Midgard deposit and routed to Åsgard B for processing. The condensate is separated from the gas and stabilised before it is shipped together with condensate from Åsgard. The condensate is sold as oil (Halten Blend). The rich gas is sent by the Åsgard Transport pipeline to Kårstø for separation of the NGL. The dry gas is transported on from Kårstø to the Continent by the Europipe II pipeline.,1630514,2012-08-23
MIKKEL,Status,The pressure decline in the reservoir has been less than anticipated and has resulted in an increased gas estimate for the field. The gas compression planned to start in 2015 will accelerate and prolong gas production from Mikkel. A stable supply of low CO2 gas from Mikkel and Midgard is also important for dilution of the high CO2 gas from Kristin in the Åsgard Transport pipeline. Work is being done to develop proven gas resources in the area via Mikkel and Midgard to Åsgard B.,1630514,2013-05-03
MIME,Status,Recovery of remaining resources is being evaluated.  The plan calls for drilling an appraisal well first.,43792,2012-08-23
MORVIN,Development,Morvin is located approximately 20 kilometres north of Kristin and 15 kilometres west of Åsgard. The water depth in the area is about 350 metres. The field is developed with two subsea templates tied back to Åsgard B.,4966234,2012-08-23
MORVIN,Reservoir,"The reservoir contains oil and gas in a rotated and tilted fault block at a depth of 4 500 - 4 700 metres, in Middle Jurassic sandstones in the Garn and Ile Formations. The reservoir in the Garn Formation is relatively homogeneous, while the reservoir in the Ile Formation is more heterogeneous.",4966234,2012-08-23
MORVIN,Recovery strategy,Morvin is produced by pressure depletion.,4966234,2013-05-03
MORVIN,Transport,The wellstream from Morvin is transported by a 20 kilometre long pipeline to Åsgard B for processing and further transport.,4966234,2012-08-23
MORVIN,Status,The field came on stream in August 2010.,4966234,2013-05-03
MURCHISON,Development,"Murchison straddles the border between the Norwegian and British sectors in the Tampen area, in the northern part of the North Sea. The field has been developed with a combined drilling, accommodation and production facility with a steel jacket situated in the British sector. The British and Norwegian licensees entered into an agreement in 1979 concerning common exploitation of the resources in the Murchison field. The agreement also involves British and Norwegian authorities.",43665,2013-05-03
MURCHISON,Reservoir,The reservoirs are in Jurassic sandstones.,43665,2013-05-03
MURCHISON,Recovery strategy,The field is recovered by pressure support from water injection.,43665,2013-05-03
MURCHISON,Transport,The production is sent through the Brent system to Sullom Voe in the Shetlands.,43665,2013-05-03
MURCHISON,Status,"Murchison is in the tail phase, and cessation of production is expected in 2014.",43665,2013-05-03
NJORD,Development,"Njord is an oil field located about 30 kilometres west of Draugen in the Norwegian Sea. The water depth in the area is 330 metres. The field has been developed with a semi-submersible drilling, accommodation and production facility and a storage vessel, “Njord B”. The facility is placed over subsea completed wells connected through flexible risers. The PDO for Njord gas export was approved in January 2005.",43751,2013-05-03
NJORD,Reservoir,The reservoir consists of Jurassic sandstones in the Tilje and Ile Formations. The field has a complicated fault pattern with only partial communication between the segments. The reservoir depth is approximately 2 850 metres.,43751,2013-05-03
NJORD,Recovery strategy,"Initial production strategy was gas injection for pressure support in parts of the reservoir and pressure depletion in the rest of the reservoir. After gas export started in 2007, only minor volumes of gas have been injected. Due to the complex reservoir with many faults, the field has a relatively low recovery rate.",43751,2012-08-23
NJORD,Transport,The oil is off-loaded from the storage vessel to tankers for transport to the market. The gas is transported through Åsgard Transport to Kårstø.,43751,2012-08-23
NJORD,Status,"In the coming period, a number of key activities are planned for the Njord field. Production is expected to be significantly below production potential. This is due to a continued need for topside work requiring production stops. In addition, some existing wells will be shut down to allow for planned drilling operations. Hyme, a tie-into Njord, is planned to come on stream in the first quarter of 2013.",43751,2013-05-03
NORDØST FRIGG,Status,No activity.,43568,2012-08-23
NORNE,Development,"Norne is an oil field located about 80 kilometres north of the Heidrun field in the Norwegian Sea. The water depth in the area is 380 metres. The field has been developed with a production and storage vessel, “Norne FPSO”, connected to seven subsea templates. Flexible risers carry the wellstream up to the production vessel. In April 2008, an amended PDO for Norne and Urd was approved. The Alve and Marulk fields are connected as satellites to the “Norne FPSO”. The Skuld field, where production is planned to start in March 2013, is also a satellite to the “Norne FPSO”. Two heavy oil discoveries and several prospects in the area around Norne and Urd are being evaluated.",43778,2013-05-03
NORNE,Reservoir,"The reservoir is in Jurassic sandstones. Oil is mainly found in the Ile and Tofte Formations, and gas in the Not Formation. The reservoir depth is about 2 500 metres and the reservoir quality is good.",43778,2012-08-23
NORNE,Recovery strategy,The oil is produced by water injection as drive mechanism. Gas injection ceased in 2005 and all gas is now being exported.,43778,2013-05-03
NORNE,Transport,"The oil is loaded onto tankers for export. Gas export started in 2001, and the gas is transported through a dedicated pipeline to Åsgard and on through the Åsgard Transport pipeline to Kårstø.",43778,2013-05-03
NORNE,Status,"Various measures to improve recovery are being considered, including the use of new well technology. Several light well interventions and new production wells are planned in 2013 to maintain the oil production.",43778,2013-05-03
ODIN,Status,No activity.,43610,2012-08-23
ORMEN LANGE,Development,"Ormen Lange is a gas field located in the Møre Basin in the southern part of the Norwegian Sea. The water depth in the area varies from 800 to in excess of 1 100 metres. The deep water and the seabed conditions have made the development very challenging and have triggered development of new technology. The field is being developed in several phases. Ormen Lange was planned with 24 deepwater wells. In 2007, two subsea templates were located in the central area of the field. In 2009 the third template was installed in the southern part of the field. The fourth template was installed in the northern part of the field in 2011.",2762452,2013-05-03
ORMEN LANGE,Reservoir,"The main reservoir consists of sandstones of Paleocene age in the “Egga” Formation, about 2 700 - 2 900 metres below sea level.",2762452,2013-05-03
ORMEN LANGE,Recovery strategy,"The field is recovered by pressure depletion and later, gas compression.",2762452,2013-05-03
ORMEN LANGE,Transport,"The wellstream, which contains gas and condensate, is transported in two multi-phase pipelines to the onshore facility at Nyhamna, where gas is dried and compressed before it is sent in the gas export pipeline, Langeled, via Sleipner R, to the UK.",2762452,2013-05-03
ORMEN LANGE,Status,The field is producing at plateau. Reserve estimates were reduced considerably in 2011. Base case for future gas compression is changed to a combination of onshore compression from 2016 and an in-field compression solution from 2021.,2762452,2013-05-03
OSEBERG,Development,"Oseberg is an oil field with a gas cap. The field is located in the northern part of the North Sea. The water depth in the area is about 100 metres. Oseberg is developed in multiple phases. The Oseberg Field Centre in the south consists of two facilities, the process and accommodation facility Oseberg A and the drilling and water injection facility Oseberg B. Oseberg C is an integrated production, drilling and quarters facility (PDQ) in the northern part of the field. Oseberg D is a facility for gas processing tied to the Oseberg Field Centre. Oseberg Vestflanke has been developed with a subsea template tied back to Oseberg B. Oseberg Delta has been developed with a subsea template tied back to Oseberg D. Production from the Statfjord Formation of the Gamma Main structure started in 2008 with two wells from the Oseberg Field Centre. The facilities at the Field Centre process oil and gas from the fields Oseberg Øst, Oseberg Sør and Tune. The PDO for the northern part of the field was approved in January 1988. The PDO for Oseberg D was approved in December 1996. The PDO for Oseberg Vestflanke was approved in December 2003, and the PDO for Oseberg Delta was approved in September 2005.",43625,2013-05-03
OSEBERG,Reservoir,"The field consists of several Middle Jurassic sandstone reservoirs in the Brent Group, and is divided into several structures. The main reservoirs are in the Oseberg and Tarbert Formations, but production also takes place from the Etive and Ness Formations. The reservoirs lie at a depth of 2 300 - 2 700 metres and have generally good reservoir characteristics. In addition, there are resources in the Statfjord Formation in several of the satellite structures west of the main reservoir.",43625,2013-05-03
OSEBERG,Recovery strategy,"The Oseberg field produces by pressure maintenance with the injection of both gas and water, and by water alternating gas injection (WAG). Massive up-flank gas injection in the main field has provided excellent oil displacement, and a large gas cap has now developed which will be recovered in the future. Injection gas was previously imported from Troll Øst (TOGI) and Oseberg Vest. Small parts of the field are produced by pressure depletion.",43625,2013-05-03
OSEBERG,Transport,"The oil is sent through the Oseberg Transport System (OTS) to the Sture terminal. Gas export began in 2000 through a pipeline, Oseberg Gas Transport (OGT), to the Statpipe system via the Heimdal facility.",43625,2012-08-23
OSEBERG,Status,The challenge with the main Oseberg reservoir is to balance the oil production below the gas cap with the gas offtake. Upgrades of the drilling facilities on Oseberg B and C were completed during 2012. Test production to evaluate flow characteristics from an overlying chalk reservoir in the Shetland Group on the Oseberg field is ongoing. Further development of the Delta structure west of the main field is planned.,43625,2013-05-03
OSEBERG SØR,Development,"Oseberg Sør is an oil field located south of Oseberg in the northern part of the North Sea. The water depth in the area is approximately 100 metres. The field has been developed with an integrated steel facility with accommodation, drilling module and first-stage separation of oil and gas. In addition, several deposits on the field have been developed with subsea templates tied back to the Oseberg Sør facility. Final processing of oil and gas takes place on the Oseberg Field Centre. The development of the Oseberg Sør J structure was approved in 2003 and production started in November 2006. The development of the 30/9 -22 Stjerne structure with a subsea template was approved in October 2011.",43645,2013-05-03
OSEBERG SØR,Reservoir,Oseberg Sør consists of several deposits with Jurassic sandstone reservoirs. The reservoir depth is between 2 200 - 2 800 metres. The main reservoirs are in the Tarbert and Heather Formations. The reservoir quality is moderate..,43645,2013-05-03
OSEBERG SØR,Recovery strategy,"Recovery mainly takes place by water and gas injection. In parts of the field, water alternating gas injection (WAG) is being used. Water used for injection is produced from the Utsira Formation.",43645,2012-08-23
OSEBERG SØR,Transport,The oil is transported from the Oseberg Sør facility by pipeline to the Oseberg Field Centre where it is processed and transported through Oseberg Transport System (OTS) to the Sture terminal. The gas is transported via Oseberg Gas Transport (OGT) to Statpipe.,43645,2012-08-23
OSEBERG SØR,Status,Optimal use of available gas for re-injection and a strategy for future blowdown of the Oseberg Sør reservoirs are being evaluated. A strategy to combine smaller prospects and discoveries into clusters large enough to trigger new infrastructure has been established. Drilling of the wells on the 30/9-22 Stjerne structure is ongoing.,43645,2013-05-03
OSEBERG ØST,Development,"Oseberg Øst is an oil field located east of Oseberg in the northern part of the North Sea. The field has been developed with an integrated fixed facility with accommodation, drilling equipment and first stage separation of oil, water and gas. The water depth in the area is about 160 metres.",43639,2012-08-23
OSEBERG ØST,Reservoir,"The main reservoir consists of two structures, separated by a sealing fault. The structures contain several oil bearing layers of Middle Jurassic sandstones in the Brent Group, with variable reservoir characteristics. The reservoir lies at a depth of 2 700 – 3 100 metres.",43639,2012-08-23
OSEBERG ØST,Recovery strategy,The field is produced by partial pressure support from both water injection and gas injection.,43639,2012-08-23
OSEBERG ØST,Transport,"The oil is sent by pipeline to the Oseberg Field Centre for further processing and transport through the Oseberg Transport System (OTS) to the Sture terminal. The gas is mainly used for injection, gas lift and fuel.",43639,2012-08-23
OSEBERG ØST,Status,"Limited availability of produced gas for power generation is a challenge. In addition, there is focus on improving the drilling performance.",43639,2013-05-03
OSELVAR,Development,"Oselvar is located 21 kilometres southwest of the Ula field, in the southern part of the North Sea. The water depth in the area is about 70 metres. The development concept is a subsea template with production wells tied to Ula by pipeline.",5506919,2012-08-23
OSELVAR,Reservoir,The reservoir lies at a depth of 2 900 - 3 250 metres in Paleocene sandstones in the Forties Formation. The reservoir contains oil with an overlying gas cap.,5506919,2013-05-03
OSELVAR,Recovery strategy,Oselvar is produced by natural pressure depletion via three horizontal production wells.,5506919,2013-05-03
OSELVAR,Transport,"The wellstream is transported by pipeline to Ula for processing. The gas is used for injection in Ula for improved recovery, while the oil is transported by pipeline to Ekofisk for further export.",5506919,2013-05-03
OSELVAR,Status,Production started from the first two wells in April 2012 and from the third well in July 2012. Production in 2012 was lower than expected due to technical problems in one well. Possible intervention or side-track operations are being evaluated for this well.,5506919,2013-05-03
REV,Development,"Rev is a gas-condensate field located close to the border between the Norwegian and British sectors, four kilometres south of the Varg field. The field is developed with three subsea gas producers connected to the Armada field on the British continental shelf. The water depth in the area is 90 - 110 metres.",4467554,2012-08-23
REV,Reservoir,The reservoir consists of Upper Jurassic sandstones of good quality surrounding a salt structure at about 3 000 metres depth. Pressure measurements show that the reservoir is in communication with the Varg field.,4467554,2013-05-03
REV,Recovery strategy,The field is produced by pressure depletion/gas expansion.,4467554,2013-05-03
REV,Transport,"The well stream is routed through a pipeline to the Armada field in the British sector, for processing at the CATS terminal and further export to the UK. The condensate is sold as stabilised crude oil.",4467554,2013-05-03
REV,Status,"The pressure development indicates that Rev may cease production in the near future. Since gas from the Varg field will be transported via the Rev infrastructure from late 2013, it may be possible to periodically produce the wells on Rev.",4467554,2013-05-03
