prfInformationCarrier,prfYear,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
GULLFAKS SØR,2008,3.108,3.738,0.878,0.000,7.724,0.356,43699
GULLFAKS SØR,2009,3.007,2.637,0.820,0.000,6.465,0.445,43699
GULLFAKS SØR,2010,2.085,2.336,0.741,0.000,5.162,0.156,43699
GULLFAKS SØR,2011,1.594,1.609,0.280,0.000,3.483,0.331,43699
GULLFAKS SØR,2012,1.882,2.436,0.665,0.000,4.983,1.441,43699
GULLFAKS SØR,2013,0.348,0.407,0.115,0.000,0.871,0.231,43699
GUNGNE,1996,0.000,0.000,0.037,0.062,0.098,0.000,43464
GUNGNE,1997,0.000,0.000,0.223,0.393,0.616,0.000,43464
GUNGNE,1998,0.000,0.000,0.102,0.180,0.283,0.000,43464
GUNGNE,1999,0.000,0.000,0.138,0.252,0.389,0.000,43464
GUNGNE,2000,0.000,0.000,0.127,0.171,0.298,0.008,43464
GUNGNE,2001,0.000,0.000,0.280,0.314,0.594,0.007,43464
GUNGNE,2002,0.000,0.000,0.305,0.445,0.750,0.009,43464
GUNGNE,2003,0.000,0.000,0.407,0.573,0.980,0.024,43464
GUNGNE,2004,0.000,0.000,0.331,0.466,0.797,0.039,43464
GUNGNE,2005,0.000,0.000,0.333,0.344,0.677,0.052,43464
GUNGNE,2006,0.000,0.000,0.286,0.261,0.547,0.069,43464
GUNGNE,2007,0.000,0.000,0.266,0.226,0.492,0.073,43464
GUNGNE,2008,0.000,0.000,0.240,0.213,0.453,0.080,43464
GUNGNE,2009,0.000,0.000,0.187,0.148,0.335,0.079,43464
GUNGNE,2010,0.000,0.000,0.140,0.120,0.260,0.090,43464
GUNGNE,2011,0.000,0.000,0.119,0.075,0.195,0.081,43464
GUNGNE,2012,0.000,0.000,0.099,0.065,0.164,0.082,43464
GUNGNE,2013,0.000,0.000,0.017,0.012,0.029,0.013,43464
GYDA,1990,1.497,0.159,0.181,0.000,1.836,0.000,43492
GYDA,1991,3.130,0.416,0.368,0.000,3.914,0.000,43492
GYDA,1992,3.587,0.479,0.400,0.000,4.466,0.000,43492
GYDA,1993,3.708,0.483,0.402,0.000,4.593,0.000,43492
GYDA,1994,3.808,0.475,0.413,0.000,4.696,0.000,43492
GYDA,1995,3.448,0.501,0.381,0.000,4.329,0.000,43492
GYDA,1996,3.125,0.608,0.362,0.000,4.095,0.000,43492
GYDA,1997,2.505,0.581,0.310,0.000,3.396,0.000,43492
GYDA,1998,1.740,0.484,0.221,0.000,2.445,0.000,43492
GYDA,1999,1.502,0.456,0.176,0.000,2.134,0.000,43492
GYDA,2000,1.116,0.281,0.124,0.000,1.520,0.870,43492
GYDA,2001,1.116,0.234,0.111,0.000,1.461,0.935,43492
GYDA,2002,0.698,0.088,0.060,0.000,0.847,1.243,43492
GYDA,2003,0.650,0.065,0.049,0.000,0.763,1.863,43492
GYDA,2004,0.524,0.055,0.038,0.000,0.617,1.377,43492
GYDA,2005,0.745,0.123,0.059,0.000,0.927,0.886,43492
GYDA,2006,0.650,0.134,0.058,0.000,0.842,1.053,43492
GYDA,2007,0.521,0.124,0.048,0.000,0.692,1.201,43492
GYDA,2008,0.623,0.150,0.061,0.000,0.834,1.453,43492
GYDA,2009,0.384,0.124,0.041,0.000,0.549,1.657,43492
GYDA,2010,0.224,0.081,0.026,0.000,0.330,1.197,43492
GYDA,2011,0.234,0.061,0.021,0.000,0.316,0.966,43492
GYDA,2012,0.144,0.004,0.006,0.000,0.155,0.675,43492
GYDA,2013,0.023,0.001,0.001,0.000,0.025,0.055,43492
HEIDRUN,1995,1.059,0.000,0.000,0.000,1.059,0.000,43771
HEIDRUN,1996,12.189,0.009,0.000,0.000,12.198,0.000,43771
HEIDRUN,1997,13.456,0.331,0.000,0.000,13.788,0.000,43771
HEIDRUN,1998,11.690,0.566,0.000,0.000,12.257,0.000,43771
HEIDRUN,1999,12.540,0.652,0.000,0.000,13.192,0.000,43771
HEIDRUN,2000,10.591,0.608,0.000,0.000,11.199,1.700,43771
HEIDRUN,2001,10.226,1.346,0.192,0.000,11.764,1.629,43771
HEIDRUN,2002,10.132,1.137,0.112,0.000,11.381,2.366,43771
HEIDRUN,2003,9.070,2.099,0.175,0.000,11.344,3.723,43771
HEIDRUN,2004,8.583,0.755,0.161,0.000,9.499,3.686,43771
HEIDRUN,2005,8.139,0.342,0.086,0.000,8.566,4.610,43771
HEIDRUN,2006,8.000,0.424,0.102,0.000,8.526,4.659,43771
HEIDRUN,2007,6.203,0.310,0.069,0.000,6.581,4.108,43771
HEIDRUN,2008,5.460,0.241,0.054,0.000,5.755,4.390,43771
HEIDRUN,2009,4.562,0.257,0.057,0.000,4.876,4.621,43771
HEIDRUN,2010,3.210,0.864,0.036,0.000,4.110,3.641,43771
HEIDRUN,2011,3.705,0.779,0.012,0.000,4.496,4.714,43771
HEIDRUN,2012,3.181,0.705,0.005,0.000,3.891,4.754,43771
HEIDRUN,2013,0.635,0.122,0.000,0.000,0.757,0.926,43771
HEIMDAL,1986,0.316,2.084,0.000,0.000,2.400,0.000,43590
HEIMDAL,1987,0.520,3.525,0.000,0.000,4.045,0.000,43590
HEIMDAL,1988,0.578,3.595,0.000,0.000,4.173,0.000,43590
HEIMDAL,1989,0.472,3.332,0.000,0.000,3.804,0.000,43590
HEIMDAL,1990,0.505,3.334,0.000,0.000,3.839,0.000,43590
HEIMDAL,1991,0.497,3.416,0.000,0.000,3.913,0.000,43590
HEIMDAL,1992,0.491,3.509,0.000,0.000,4.000,0.000,43590
HEIMDAL,1993,0.485,3.506,0.000,0.000,3.990,0.000,43590
HEIMDAL,1994,0.444,3.294,0.000,0.000,3.739,0.000,43590
HEIMDAL,1995,0.466,3.434,0.000,0.000,3.900,0.000,43590
HEIMDAL,1996,0.627,4.569,0.000,0.000,5.197,0.000,43590
HEIMDAL,1997,0.407,2.712,0.000,0.000,3.119,0.000,43590
HEIMDAL,1998,0.204,1.326,0.000,0.000,1.530,0.000,43590
HEIMDAL,1999,0.118,0.820,0.000,0.000,0.938,0.000,43590
HEIMDAL,2001,0.013,0.228,0.000,0.000,0.240,0.000,43590
HEIMDAL,2002,0.099,0.547,0.000,0.000,0.646,0.000,43590
HEIMDAL,2003,0.056,0.396,0.000,0.000,0.453,0.000,43590
HEIMDAL,2004,0.051,0.337,0.000,0.000,0.388,0.000,43590
HEIMDAL,2005,0.045,0.292,0.000,0.000,0.337,0.000,43590
HEIMDAL,2006,0.023,0.158,0.000,0.000,0.181,0.000,43590
HEIMDAL,2007,0.026,0.149,0.000,0.000,0.175,0.000,43590
HEIMDAL,2008,0.022,0.170,0.000,0.000,0.192,0.000,43590
HEIMDAL,2009,0.026,0.200,0.000,0.000,0.225,0.000,43590
HEIMDAL,2010,0.025,0.187,0.000,0.000,0.212,0.000,43590
HEIMDAL,2011,0.018,0.122,0.000,0.000,0.140,0.000,43590
HOD,1990,0.155,0.021,0.010,0.000,0.186,0.000,43485
HOD,1991,1.526,0.202,0.088,0.000,1.816,0.000,43485
HOD,1992,1.288,0.250,0.077,0.000,1.614,0.000,43485
HOD,1993,0.868,0.204,0.051,0.000,1.123,0.000,43485
HOD,1994,0.616,0.139,0.038,0.000,0.793,0.000,43485
HOD,1995,0.524,0.118,0.032,0.000,0.674,0.000,43485
HOD,1996,0.560,0.120,0.032,0.000,0.712,0.000,43485
HOD,1997,0.468,0.095,0.026,0.000,0.589,0.000,43485
HOD,1998,0.294,0.054,0.015,0.000,0.363,0.000,43485
HOD,1999,0.131,0.017,0.005,0.000,0.152,0.000,43485
HOD,2000,0.094,0.011,0.003,0.000,0.109,0.006,43485
HOD,2001,0.377,0.043,0.015,0.000,0.434,0.042,43485
HOD,2002,0.372,0.051,0.015,0.000,0.438,0.054,43485
HOD,2003,0.330,0.042,0.014,0.000,0.386,0.063,43485
HOD,2004,0.282,0.051,0.013,0.000,0.346,0.082,43485
HOD,2005,0.231,0.035,0.010,0.000,0.277,0.086,43485
HOD,2006,0.376,0.048,0.015,0.000,0.439,0.132,43485
HOD,2007,0.302,0.047,0.014,0.000,0.363,0.086,43485
HOD,2008,0.217,0.033,0.010,0.000,0.260,0.107,43485
HOD,2009,0.194,0.027,0.009,0.000,0.230,0.092,43485
HOD,2010,0.173,0.017,0.007,0.000,0.197,0.098,43485
HOD,2011,0.070,0.008,0.003,0.000,0.080,0.036,43485
HOD,2012,0.044,0.004,0.001,0.000,0.050,0.035,43485
HULDRA,2001,0.038,0.082,0.002,0.000,0.122,0.003,97002
HULDRA,2002,1.249,2.615,0.052,0.000,3.916,0.231,97002
HULDRA,2003,1.183,2.958,0.023,0.000,4.164,0.428,97002
HULDRA,2004,0.939,3.081,0.043,0.000,4.063,0.406,97002
HULDRA,2005,0.485,1.919,0.042,0.000,2.446,0.286,97002
HULDRA,2006,0.304,1.338,0.022,0.000,1.664,0.251,97002
HULDRA,2007,0.168,0.767,0.001,0.000,0.937,0.204,97002
HULDRA,2008,0.209,1.083,0.001,0.000,1.293,0.330,97002
HULDRA,2009,0.192,1.055,0.000,0.000,1.247,0.389,97002
HULDRA,2010,0.146,0.824,0.000,0.000,0.970,0.322,97002
HULDRA,2011,0.099,0.576,0.001,0.000,0.676,0.250,97002
HULDRA,2012,0.079,0.440,0.023,0.000,0.542,0.170,97002
HULDRA,2013,0.009,0.057,0.004,0.000,0.070,0.021,97002
ISLAY,2012,0.002,0.025,0.002,0.000,0.029,0.000,21105675
ISLAY,2013,0.000,0.007,0.001,0.000,0.008,0.000,21105675
JOTUN,1999,0.863,0.012,0.000,0.000,0.876,0.000,43604
JOTUN,2000,7.166,0.313,0.000,0.000,7.479,0.821,43604
JOTUN,2001,5.480,0.206,0.000,0.000,5.685,4.508,43604
JOTUN,2002,2.587,0.068,0.000,0.000,2.655,6.840,43604
JOTUN,2003,2.235,0.048,0.000,0.000,2.283,7.401,43604
JOTUN,2004,1.103,0.037,0.000,0.000,1.140,7.905,43604
JOTUN,2005,0.764,0.051,0.000,0.000,0.815,8.101,43604
JOTUN,2006,0.665,0.051,0.000,0.000,0.717,7.578,43604
JOTUN,2007,0.515,0.045,0.000,0.000,0.559,6.693,43604
JOTUN,2008,0.384,0.022,0.000,0.000,0.406,6.085,43604
JOTUN,2009,0.312,0.014,0.000,0.000,0.326,5.531,43604
JOTUN,2010,0.254,0.007,0.000,0.000,0.261,5.373,43604
JOTUN,2011,0.213,0.005,0.000,0.000,0.218,5.138,43604
JOTUN,2012,0.174,0.001,0.000,0.000,0.174,4.830,43604
JOTUN,2013,0.028,0.000,0.000,0.000,0.028,0.764,43604
KRISTIN,2005,0.000,0.190,0.076,0.195,0.460,0.005,1854729
KRISTIN,2006,1.070,2.610,1.119,1.902,6.700,0.078,1854729
KRISTIN,2007,4.278,3.690,1.578,0.000,9.546,0.213,1854729
KRISTIN,2008,4.398,3.940,1.625,0.000,9.963,0.667,1854729
KRISTIN,2009,2.864,2.813,1.181,0.000,6.857,0.702,1854729
KRISTIN,2010,1.750,2.117,0.882,0.000,4.750,0.891,1854729
KRISTIN,2011,1.411,1.981,0.891,0.000,4.283,1.231,1854729
KRISTIN,2012,1.139,1.634,0.675,0.000,3.448,1.118,1854729
KRISTIN,2013,0.171,0.228,0.084,0.000,0.483,0.173,1854729
KVITEBJØRN,2004,0.281,0.558,0.034,0.000,0.873,0.014,1036101
KVITEBJØRN,2005,2.187,4.340,0.590,0.000,7.117,0.072,1036101
KVITEBJØRN,2006,2.837,5.620,0.810,0.000,9.267,0.088,1036101
KVITEBJØRN,2007,0.548,1.083,0.140,0.000,1.771,0.018,1036101
KVITEBJØRN,2008,1.448,3.003,0.453,0.000,4.904,0.062,1036101
KVITEBJØRN,2009,2.349,5.081,0.808,0.000,8.237,0.172,1036101
KVITEBJØRN,2010,2.711,6.115,0.775,0.000,9.600,0.226,1036101
KVITEBJØRN,2011,2.628,6.518,0.829,0.000,9.974,0.202,1036101
KVITEBJØRN,2012,2.483,6.979,0.933,0.000,10.396,0.135,1036101
KVITEBJØRN,2013,0.393,1.200,0.149,0.000,1.742,0.023,1036101
LILLE-FRIGG,1994,0.388,0.584,0.000,0.003,0.976,0.000,43583
LILLE-FRIGG,1995,0.437,0.609,0.000,0.003,1.049,0.000,43583
LILLE-FRIGG,1996,0.283,0.532,0.000,0.006,0.822,0.000,43583
LILLE-FRIGG,1997,0.132,0.271,0.000,0.003,0.407,0.000,43583
LILLE-FRIGG,1998,0.071,0.149,0.000,0.004,0.223,0.000,43583
LILLE-FRIGG,1999,0.013,0.041,0.000,0.000,0.054,0.000,43583
LILLE-FRIGG,2000,0.002,0.000,0.000,0.000,0.002,0.000,43583
LILLE-FRIGG,2001,0.000,0.000,0.000,0.000,0.000,0.000,43583
MARULK,2012,0.050,0.541,0.092,0.000,0.683,0.004,18212090
MARULK,2013,0.001,0.015,0.003,0.000,0.019,0.000,18212090
MIKKEL,2003,0.000,0.463,0.195,0.205,0.863,0.002,1630514
MIKKEL,2004,0.000,1.651,0.857,0.732,3.240,0.007,1630514
MIKKEL,2005,0.000,1.738,0.914,0.760,3.412,0.008,1630514
MIKKEL,2006,0.169,1.613,0.881,0.532,3.194,0.007,1630514
MIKKEL,2007,0.740,1.850,1.000,0.000,3.590,0.007,1630514
MIKKEL,2008,0.590,1.506,0.793,0.000,2.889,0.006,1630514
MIKKEL,2009,0.515,1.781,0.926,0.000,3.222,0.006,1630514
MIKKEL,2010,0.458,1.694,0.904,0.000,3.056,0.006,1630514
MIKKEL,2011,0.414,1.672,0.903,0.000,2.989,0.006,1630514
MIKKEL,2012,0.370,1.615,0.868,0.000,2.854,0.006,1630514
MIKKEL,2013,0.050,0.229,0.123,0.000,0.402,0.001,1630514
MIME,1990,0.026,0.006,0.002,0.000,0.034,0.000,43792
MIME,1991,0.162,0.037,0.011,0.000,0.210,0.000,43792
MIME,1992,0.122,0.028,0.008,0.000,0.157,0.000,43792
MIME,1993,0.064,0.015,0.004,0.000,0.083,0.000,43792
MORVIN,2010,0.407,0.000,0.000,0.000,0.407,0.000,4966234
MORVIN,2011,1.558,0.000,0.000,0.000,1.558,0.000,4966234
MORVIN,2012,1.711,0.000,0.000,0.000,1.711,0.000,4966234
MORVIN,2013,0.230,0.000,0.000,0.000,0.230,0.000,4966234
MURCHISON,1981,0.720,0.000,0.000,0.000,0.720,0.000,43665
MURCHISON,1982,1.052,0.000,0.000,0.000,1.052,0.000,43665
MURCHISON,1983,1.054,0.019,0.049,0.000,1.121,0.000,43665
MURCHISON,1984,2.863,0.081,0.195,0.000,3.139,0.000,43665
MURCHISON,1985,1.696,0.055,0.139,0.000,1.890,0.000,43665
MURCHISON,1986,0.893,0.046,0.082,0.000,1.022,0.000,43665
MURCHISON,1987,0.344,0.024,0.024,0.000,0.392,0.000,43665
MURCHISON,1988,0.523,0.024,0.019,0.000,0.566,0.000,43665
MURCHISON,1989,0.485,0.017,0.016,0.000,0.518,0.000,43665
MURCHISON,1990,0.481,0.008,0.013,0.000,0.501,0.000,43665
MURCHISON,1991,0.394,0.011,0.010,0.000,0.416,0.000,43665
MURCHISON,1992,0.469,0.018,0.015,0.000,0.502,0.000,43665
MURCHISON,1993,0.289,0.009,0.007,0.000,0.306,0.000,43665
MURCHISON,1994,0.230,0.004,0.005,0.000,0.239,0.000,43665
MURCHISON,1995,0.203,0.004,0.005,0.000,0.212,0.000,43665
MURCHISON,1996,0.236,0.006,0.005,0.000,0.247,0.000,43665
MURCHISON,1997,0.280,0.011,0.010,0.000,0.302,0.000,43665
MURCHISON,1998,0.269,0.006,0.007,0.000,0.282,0.000,43665
MURCHISON,1999,0.252,0.004,0.005,0.000,0.261,0.000,43665
MURCHISON,2000,0.168,0.001,0.005,0.000,0.173,0.000,43665
MURCHISON,2001,0.090,0.000,0.000,0.000,0.090,0.000,43665
MURCHISON,2002,0.105,0.000,0.001,0.000,0.106,0.000,43665
MURCHISON,2003,0.114,0.000,0.003,0.000,0.117,0.000,43665
MURCHISON,2004,0.090,0.000,0.001,0.000,0.092,0.000,43665
MURCHISON,2005,0.082,0.000,0.000,0.000,0.082,0.000,43665
MURCHISON,2006,0.088,0.000,0.002,0.000,0.090,0.000,43665
MURCHISON,2007,0.078,0.000,0.000,0.000,0.078,0.000,43665
MURCHISON,2008,0.075,0.000,0.001,0.000,0.076,0.000,43665
MURCHISON,2009,0.068,0.000,0.001,0.000,0.069,0.000,43665
MURCHISON,2010,0.046,0.000,0.001,0.000,0.045,0.000,43665
MURCHISON,2011,0.050,0.000,0.000,0.000,0.050,0.000,43665
MURCHISON,2012,0.044,0.000,0.000,0.000,0.044,0.000,43665
MURCHISON,2013,0.005,0.000,0.000,0.000,0.005,0.000,43665
NJORD,1997,0.367,0.000,0.000,0.000,0.367,0.000,43751
NJORD,1998,1.696,0.000,0.000,0.000,1.696,0.000,43751
NJORD,1999,3.523,0.000,0.000,0.000,3.523,0.000,43751
NJORD,2000,3.921,0.000,0.000,0.000,3.921,0.062,43751
NJORD,2001,2.937,0.000,0.000,0.000,2.937,0.124,43751
NJORD,2002,1.863,0.000,0.000,0.000,1.863,0.103,43751
NJORD,2003,1.764,0.000,0.000,0.000,1.764,0.144,43751
NJORD,2004,1.689,0.000,0.000,0.000,1.689,0.070,43751
NJORD,2005,1.830,0.000,0.000,0.000,1.830,0.080,43751
NJORD,2006,1.392,0.000,0.000,0.000,1.392,0.161,43751
NJORD,2007,1.053,0.075,0.034,0.000,1.162,0.094,43751
NJORD,2008,0.947,1.997,0.905,0.000,3.849,0.086,43751
NJORD,2009,0.743,1.824,0.840,0.000,3.407,0.189,43751
NJORD,2010,0.961,1.777,0.798,0.000,3.537,0.142,43751
NJORD,2011,0.541,1.384,0.614,0.000,2.539,0.040,43751
NJORD,2012,0.317,0.756,0.329,0.000,1.402,0.023,43751
NJORD,2013,0.080,0.172,0.074,0.000,0.325,0.007,43751
NORDØST FRIGG,1983,0.000,0.058,0.000,0.000,0.058,0.000,43568
NORDØST FRIGG,1984,0.000,1.727,0.000,0.013,1.740,0.000,43568
NORDØST FRIGG,1985,0.000,2.228,0.000,0.013,2.241,0.000,43568
NORDØST FRIGG,1986,0.000,1.609,0.000,0.006,1.615,0.000,43568
NORDØST FRIGG,1987,0.000,1.143,0.000,0.005,1.148,0.000,43568
NORDØST FRIGG,1988,0.000,1.121,0.000,0.007,1.128,0.000,43568
NORDØST FRIGG,1989,0.000,1.123,0.000,0.008,1.131,0.000,43568
NORDØST FRIGG,1990,0.000,1.224,0.000,0.012,1.235,0.000,43568
NORDØST FRIGG,1991,0.000,0.797,0.000,0.008,0.805,0.000,43568
NORDØST FRIGG,1992,0.000,0.486,0.000,0.006,0.492,0.000,43568
NORDØST FRIGG,1993,0.000,0.079,0.000,0.001,0.080,0.000,43568
NORNE,1997,0.415,0.000,0.000,0.000,0.415,0.000,43778
NORNE,1998,6.316,0.000,0.000,0.000,6.316,0.000,43778
NORNE,1999,8.305,0.000,0.000,0.000,8.305,0.000,43778
NORNE,2000,10.420,0.000,0.000,0.000,10.420,0.139,43778
NORNE,2001,11.297,1.085,0.208,0.000,12.591,0.303,43778
NORNE,2002,10.270,0.790,0.146,0.000,11.205,1.056,43778
NORNE,2003,8.552,0.756,0.181,0.000,9.489,1.856,43778
NORNE,2004,7.008,0.956,0.205,0.000,8.169,2.473,43778
NORNE,2005,5.267,0.946,0.208,0.000,6.420,4.953,43778
NORNE,2006,4.849,0.435,0.114,0.000,5.398,5.463,43778
NORNE,2007,4.274,0.510,0.135,0.000,4.919,5.854,43778
NORNE,2008,3.482,0.343,0.092,0.000,3.916,6.450,43778
NORNE,2009,2.214,0.180,0.048,0.000,2.443,6.399,43778
NORNE,2010,1.931,0.169,0.046,0.000,2.146,6.467,43778
NORNE,2011,1.615,0.257,0.072,0.000,1.944,8.107,43778
NORNE,2012,0.743,0.157,0.044,0.000,0.944,6.123,43778
NORNE,2013,0.147,0.023,0.006,0.000,0.177,1.037,43778
ODIN,1984,0.000,1.515,0.000,0.016,1.532,0.000,43610
ODIN,1985,0.000,3.549,0.000,0.028,3.577,0.000,43610
ODIN,1986,0.000,3.371,0.000,0.021,3.392,0.000,43610
ODIN,1987,0.000,3.475,0.000,0.021,3.496,0.000,43610
ODIN,1988,0.000,2.729,0.000,0.015,2.744,0.000,43610
ODIN,1989,0.000,2.827,0.000,0.019,2.846,0.000,43610
ODIN,1990,0.000,2.625,0.000,0.020,2.645,0.000,43610
ODIN,1991,0.000,2.810,0.000,0.030,2.840,0.000,43610
ODIN,1992,0.000,2.289,0.000,0.023,2.312,0.000,43610
ODIN,1993,0.000,1.503,0.000,0.016,1.520,0.000,43610
ODIN,1994,0.000,0.565,0.000,0.007,0.572,0.000,43610
ORMEN LANGE,2007,0.000,1.670,0.000,0.135,1.805,0.002,2762452
ORMEN LANGE,2008,0.000,11.437,0.000,0.967,12.405,0.000,2762452
ORMEN LANGE,2009,0.000,20.782,0.000,1.646,22.427,0.000,2762452
ORMEN LANGE,2010,0.000,20.851,0.000,1.529,22.380,0.000,2762452
ORMEN LANGE,2011,0.000,21.739,0.000,1.654,23.393,0.000,2762452
ORMEN LANGE,2012,0.000,22.203,0.000,1.734,23.937,0.000,2762452
ORMEN LANGE,2013,0.000,3.730,0.000,0.271,4.001,0.000,2762452
OSEBERG,1986,0.291,0.000,0.000,0.000,0.291,0.000,43625
OSEBERG,1987,0.808,0.000,0.000,0.000,0.808,0.000,43625
OSEBERG,1988,1.126,0.000,0.000,0.000,1.126,0.000,43625
OSEBERG,1989,13.514,0.000,0.000,0.000,13.514,0.000,43625
OSEBERG,1990,17.309,0.000,0.000,0.000,17.309,0.000,43625
OSEBERG,1991,20.916,0.000,0.000,0.000,20.916,0.000,43625
OSEBERG,1992,26.104,0.000,0.000,0.000,26.104,0.000,43625
OSEBERG,1993,28.463,0.000,0.000,0.000,28.463,0.000,43625
OSEBERG,1994,29.212,0.000,0.000,0.000,29.212,0.000,43625
OSEBERG,1995,28.985,0.000,0.000,0.000,28.985,0.000,43625
OSEBERG,1996,29.126,0.000,0.000,0.000,29.126,0.000,43625
OSEBERG,1997,27.268,0.000,0.000,0.000,27.268,0.000,43625
OSEBERG,1998,24.102,0.000,0.000,0.000,24.102,0.000,43625
OSEBERG,1999,19.435,0.000,0.000,0.000,19.435,0.000,43625
OSEBERG,2000,15.411,1.403,0.630,0.000,17.444,3.047,43625
OSEBERG,2001,10.970,3.797,0.955,0.000,15.722,2.155,43625
OSEBERG,2002,10.113,2.798,1.019,0.000,13.929,1.742,43625
OSEBERG,2003,9.175,1.239,1.025,0.000,11.439,2.305,43625
OSEBERG,2004,8.714,2.423,1.184,0.000,12.321,2.537,43625
OSEBERG,2005,7.467,2.821,1.165,0.000,11.452,2.982,43625
OSEBERG,2006,6.262,3.370,1.255,0.000,10.887,2.802,43625
OSEBERG,2007,5.164,1.548,1.303,0.000,8.014,2.415,43625
OSEBERG,2008,5.293,3.818,1.179,0.000,10.290,2.395,43625
OSEBERG,2009,5.125,2.380,1.075,0.000,8.580,2.715,43625
OSEBERG,2010,4.309,3.243,0.959,0.000,8.512,2.915,43625
OSEBERG,2011,3.914,1.530,1.199,0.000,6.643,2.118,43625
OSEBERG,2012,3.311,4.569,1.176,0.000,9.056,1.783,43625
OSEBERG,2013,0.478,1.245,0.211,0.000,1.935,0.237,43625
OSEBERG SØR,2000,1.432,0.000,0.000,0.000,1.432,0.004,43645
OSEBERG SØR,2001,4.456,0.000,0.000,0.000,4.456,0.047,43645
OSEBERG SØR,2002,4.360,0.197,0.000,0.000,4.557,0.174,43645
OSEBERG SØR,2003,5.060,0.895,0.000,0.000,5.955,0.327,43645
OSEBERG SØR,2004,4.582,0.954,0.000,0.000,5.536,1.003,43645
OSEBERG SØR,2005,4.182,0.713,0.000,0.000,4.895,1.374,43645
OSEBERG SØR,2006,4.070,0.759,0.000,0.000,4.829,2.379,43645
OSEBERG SØR,2007,3.173,0.668,0.000,0.000,3.841,2.122,43645
OSEBERG SØR,2008,3.305,0.603,0.000,0.000,3.908,2.048,43645
OSEBERG SØR,2009,2.634,0.613,0.000,0.000,3.247,1.802,43645
OSEBERG SØR,2010,2.302,0.629,0.000,0.000,2.931,1.715,43645
OSEBERG SØR,2011,2.081,0.807,0.000,0.000,2.889,1.686,43645
OSEBERG SØR,2012,2.097,1.118,0.000,0.000,3.215,1.683,43645
OSEBERG SØR,2013,0.316,0.176,0.000,0.000,0.493,0.305,43645
OSEBERG ØST,1999,0.911,0.000,0.000,0.000,0.911,0.000,43639
OSEBERG ØST,2000,2.554,0.000,0.000,0.000,2.554,0.007,43639
OSEBERG ØST,2001,3.813,0.000,0.000,0.000,3.813,0.332,43639
OSEBERG ØST,2002,3.113,0.031,0.000,0.000,3.143,1.489,43639
OSEBERG ØST,2003,2.188,0.082,0.000,0.000,2.270,2.218,43639
OSEBERG ØST,2004,1.798,0.067,0.000,0.000,1.864,2.991,43639
OSEBERG ØST,2005,1.062,0.037,0.000,0.000,1.099,2.770,43639
OSEBERG ØST,2006,0.663,0.024,0.000,0.000,0.687,2.503,43639
OSEBERG ØST,2007,0.539,0.020,0.000,0.000,0.558,2.577,43639
OSEBERG ØST,2008,0.438,0.008,0.000,0.000,0.446,1.888,43639
OSEBERG ØST,2009,0.350,0.006,0.000,0.000,0.357,1.251,43639
OSEBERG ØST,2010,0.349,0.007,0.000,0.000,0.355,1.519,43639
OSEBERG ØST,2011,0.516,0.010,0.000,0.000,0.526,1.352,43639
OSEBERG ØST,2012,0.455,0.009,0.000,0.000,0.464,1.422,43639
OSEBERG ØST,2013,0.068,0.001,0.000,0.000,0.070,0.283,43639
OSELVAR,2012,0.152,0.000,0.007,0.000,0.159,0.004,5506919
OSELVAR,2013,0.038,0.000,0.002,0.000,0.040,0.001,5506919
REV,2009,0.240,0.628,0.000,0.000,0.869,0.000,4467554
REV,2010,0.291,1.129,0.019,0.000,1.439,0.000,4467554
REV,2011,0.084,0.481,0.033,0.000,0.598,0.006,4467554
REV,2012,0.057,0.296,0.022,0.000,0.375,0.007,4467554
REV,2013,0.009,0.023,0.002,0.000,0.034,0.006,4467554
RINGHORNE ØST,2006,0.934,0.031,0.000,0.000,0.965,0.034,3505505
RINGHORNE ØST,2007,1.622,0.025,0.000,0.000,1.646,0.048,3505505
RINGHORNE ØST,2008,1.979,0.035,0.000,0.000,2.015,0.163,3505505
RINGHORNE ØST,2009,1.603,0.043,0.000,0.000,1.647,0.757,3505505
RINGHORNE ØST,2010,1.094,0.031,0.000,0.000,1.125,0.995,3505505
RINGHORNE ØST,2011,0.945,0.028,0.000,0.000,0.973,1.051,3505505
RINGHORNE ØST,2012,0.922,0.023,0.000,0.000,0.946,1.119,3505505
RINGHORNE ØST,2013,0.157,0.004,0.000,0.000,0.161,0.210,3505505
SIGYN,2003,0.000,0.913,0.611,0.888,2.412,0.006,1630100
SIGYN,2004,0.000,0.836,0.660,0.901,2.397,0.022,1630100
SIGYN,2005,0.000,0.844,0.657,0.872,2.374,0.042,1630100
SIGYN,2006,0.000,0.716,0.501,0.646,1.863,0.078,1630100
SIGYN,2007,0.000,0.649,0.492,0.598,1.740,0.095,1630100
SIGYN,2008,0.000,0.546,0.438,0.508,1.492,0.122,1630100
SIGYN,2009,0.000,0.485,0.370,0.440,1.295,0.124,1630100
SIGYN,2010,0.000,0.411,0.256,0.342,1.009,0.119,1630100
SIGYN,2011,0.000,0.438,0.275,0.343,1.056,0.150,1630100
SIGYN,2012,0.000,0.335,0.224,0.275,0.834,0.115,1630100
SIGYN,2013,0.000,0.051,0.035,0.043,0.128,0.018,1630100
