prlName,prlTransferDateValidFrom,prlTransferDirection,prlTransferKind,cmpLongName,prlTransferredInterest,prlTransferSdfi,prlNpdidLicence,cmpNpdidCompany,prlTransferDateUpdated,dateSyncNPD
064,1998-01-01,FROM,UNKNOWN,Elf Petroleum Norge AS,5.00000,NULL,21308,298,9999-12-31,2013-05-08
064,1998-01-01,TO,UNKNOWN,Total Norge AS,5.00000,NULL,21308,848,9999-12-31,2013-05-08
064,1996-02-29,FROM,UNKNOWN,Phillips Petroleum Norsk AS,5.00000,NULL,21308,705,9999-12-31,2013-05-08
064,1996-02-29,TO,UNKNOWN,Den norske stats oljeselskap a.s,5.00000,NULL,21308,749,9999-12-31,2013-05-08
064,1994-01-01,FROM,UNKNOWN,Esso Exploration and Production Norway A/S,25.00000,NULL,21308,353,9999-12-31,2013-05-08
064,1994-01-01,TO,UNKNOWN,Norsk Hydro Produksjon AS,5.75000,NULL,21308,430,9999-12-31,2013-05-08
064,1994-01-01,TO,UNKNOWN,Den norske stats oljeselskap a.s,19.25000,NULL,21308,749,9999-12-31,2013-05-08
065,2006-09-06,FROM,CHANGE OF COMPANY NAME,DONG Norge AS,45.00000,NULL,21316,1853083,9999-12-31,2013-05-08
065,2006-09-06,TO,CHANGE OF COMPANY NAME,DONG E&P Norge AS,45.00000,NULL,21316,4070011,9999-12-31,2013-05-08
065,2002-04-17,FROM,TRANSFER,Pelican AS,45.00000,NULL,21316,606,9999-12-31,2013-05-08
065,2002-04-17,TO,TRANSFER,DONG Norge AS,45.00000,NULL,21316,1853083,9999-12-31,2013-05-08
065,2002-03-19,FROM,TRANSFER,Petoro AS,30.00000,NULL,21316,1626839,9999-12-31,2013-05-08
065,2002-03-19,TO,TRANSFER,Pelican AS,30.00000,NULL,21316,606,9999-12-31,2013-05-08
065,2002-03-12,FROM,CHANGE OF COMPANY NAME,BP Amoco Norge AS,55.00000,NULL,21316,982372,9999-12-31,2013-05-08
065,2002-03-12,TO,CHANGE OF COMPANY NAME,BP Norge AS,55.00000,NULL,21316,2052695,9999-12-31,2013-05-08
065,2001-06-17,FROM,SDFI,SDØE,30.00000,NULL,21316,1623450,9999-12-31,2013-05-08
065,2001-06-17,TO,SDFI,Petoro AS,30.00000,NULL,21316,1626839,9999-12-31,2013-05-08
065,2001-05-10,FROM,SDFI,Den norske stats oljeselskap a.s,30.00000,NULL,21316,749,9999-12-31,2013-05-08
065,2001-05-10,TO,SDFI,SDØE,30.00000,NULL,21316,1623450,9999-12-31,2013-05-08
065,2000-01-01,FROM,TRANSFER,A/S Norske Shell,15.00000,NULL,21316,562,9999-12-31,2013-05-08
065,2000-01-01,TO,TRANSFER,Pelican AS,15.00000,NULL,21316,606,9999-12-31,2013-05-08
065,1999-12-23,FROM,MERGER/TAKEOVER,BP Petroleum Dev. of Norway AS,55.00000,NULL,21316,155,9999-12-31,2013-05-08
065,1999-12-23,TO,MERGER/TAKEOVER,BP Amoco Norge AS,55.00000,NULL,21316,982372,9999-12-31,2013-05-08
065,1998-07-23,FROM,TRANSFER,Enterprise Oil Norwegian AS,20.00000,NULL,21316,342,9999-12-31,2013-05-08
065,1998-07-23,TO,TRANSFER,BP Petroleum Dev. of Norway AS,20.00000,NULL,21316,155,9999-12-31,2013-05-08
065,1997-02-12,FROM,UNKNOWN,Den norske stats oljeselskap a.s,10.00000,NULL,21316,749,9999-12-31,2013-05-08
065,1997-02-12,TO,UNKNOWN,BP Petroleum Dev. of Norway AS,10.00000,NULL,21316,155,9999-12-31,2013-05-08
065,1997-01-01,FROM,UNKNOWN,Elf Petroleum Norge AS,16.66700,NULL,21316,298,9999-12-31,2013-05-08
065,1997-01-01,TO,UNKNOWN,BP Petroleum Dev. of Norway AS,16.66700,NULL,21316,155,9999-12-31,2013-05-08
065,1995-01-19,FROM,UNKNOWN,Den norske stats oljeselskap a.s,10.00000,NULL,21316,749,9999-12-31,2013-05-08
065,1995-01-19,TO,UNKNOWN,Enterprise Oil Norwegian AS,10.00000,NULL,21316,342,9999-12-31,2013-05-08
065,1990-05-21,FROM,UNKNOWN,Elf Aquitaine Norge A/S,16.66700,NULL,21316,331,9999-12-31,2013-05-08
065,1990-05-21,FROM,UNKNOWN,Total Norge AS,8.33300,NULL,21316,848,9999-12-31,2013-05-08
065,1990-05-21,TO,UNKNOWN,BP Petroleum Dev. of Norway AS,8.33300,NULL,21316,155,9999-12-31,2013-05-08
065,1990-05-21,TO,UNKNOWN,Elf Petroleum Norge AS,16.66700,NULL,21316,298,9999-12-31,2013-05-08
065,1990-01-18,FROM,UNKNOWN,Texaco Exploration Norway AS,10.00000,NULL,21316,804,9999-12-31,2013-05-08
065,1990-01-18,TO,UNKNOWN,Enterprise Oil Norwegian AS,10.00000,NULL,21316,342,9999-12-31,2013-05-08
066,2001-06-01,FROM,TRANSFER,SDØE,30.00000,NULL,21324,1623450,9999-12-31,2013-05-08
066,2001-06-01,TO,TRANSFER,Statoil ASA (old),30.00000,NULL,21324,1622484,9999-12-31,2013-05-08
066,2001-05-10,FROM,SDFI,Den norske stats oljeselskap a.s,30.00000,NULL,21324,749,9999-12-31,2013-05-08
066,2001-05-10,TO,SDFI,SDØE,30.00000,NULL,21324,1623450,9999-12-31,2013-05-08
066,1999-01-01,FROM,TRANSFER,Saga Petroleum ASA,25.00000,NULL,21324,716,9999-12-31,2013-05-08
066,1999-01-01,FROM,TRANSFER,Den norske stats oljeselskap a.s,20.00000,NULL,21324,749,9999-12-31,2013-05-08
066,1999-01-01,FROM,TRANSFER,BP Petroleum Dev. of Norway AS,5.00000,NULL,21324,155,9999-12-31,2013-05-08
066,1999-01-01,TO,TRANSFER,Amerada Hess Norge AS,50.00000,NULL,21324,67,9999-12-31,2013-05-08
066,1996-07-31,FROM,UNKNOWN,Saga Petroleum ASA,5.00000,NULL,21324,716,9999-12-31,2013-05-08
066,1996-07-31,TO,UNKNOWN,BP Petroleum Dev. of Norway AS,5.00000,NULL,21324,155,9999-12-31,2013-05-08
066,1995-02-22,FROM,UNKNOWN,Saga Petroleum ASA,20.00000,NULL,21324,716,9999-12-31,2013-05-08
066,1995-02-22,TO,UNKNOWN,Amerada Hess Norge AS,20.00000,NULL,21324,67,9999-12-31,2013-05-08
066,1993-12-08,FROM,UNKNOWN,Mobil Development Norway AS,28.60000,NULL,21324,474,9999-12-31,2013-05-08
066,1993-12-08,TO,UNKNOWN,Saga Petroleum ASA,28.60000,NULL,21324,716,9999-12-31,2013-05-08
066,1993-01-25,FROM,UNKNOWN,Norsk Hydro Produksjon AS,10.00000,NULL,21324,430,9999-12-31,2013-05-08
066,1993-01-25,TO,UNKNOWN,Saga Petroleum ASA,10.00000,NULL,21324,716,9999-12-31,2013-05-08
066,1990-06-13,FROM,UNKNOWN,Arco Norge A/S,5.00000,NULL,21324,122,9999-12-31,2013-05-08
066,1990-06-13,TO,UNKNOWN,Mobil Development Norway AS,3.60000,NULL,21324,474,9999-12-31,2013-05-08
066,1990-06-13,TO,UNKNOWN,Saga Petroleum ASA,1.40000,NULL,21324,716,9999-12-31,2013-05-08
067,1991-08-01,FROM,UNKNOWN,A/S Norske Shell,30.00000,NULL,21332,562,9999-12-31,2013-05-08
067,1991-08-01,TO,UNKNOWN,Norsk Agip  AS,30.00000,NULL,21332,45,9999-12-31,2013-05-08
069,1998-12-17,FROM,UNKNOWN,Deminex Norge AS,5.00000,NULL,21348,254,9999-12-31,2013-05-08
069,1998-12-17,TO,UNKNOWN,RWE Dea Norge AS,5.00000,NULL,21348,97557,9999-12-31,2013-05-08
069,1996-08-26,FROM,UNKNOWN,Norske Conoco A/S,25.00000,NULL,21348,221,9999-12-31,2013-05-08
069,1996-08-26,TO,UNKNOWN,Saga Petroleum ASA,25.00000,NULL,21348,716,9999-12-31,2013-05-08
069,1995-05-09,FROM,UNKNOWN,DNO Olje A/S,5.00000,NULL,21348,276,9999-12-31,2013-05-08
069,1995-05-09,TO,UNKNOWN,Saga Petroleum ASA,5.00000,NULL,21348,716,9999-12-31,2013-05-08
069,1994-11-10,FROM,UNKNOWN,BP Petroleum Dev. of Norway AS,5.00000,NULL,21348,155,9999-12-31,2013-05-08
069,1994-11-10,TO,UNKNOWN,DNO Olje A/S,5.00000,NULL,21348,276,9999-12-31,2013-05-08
070,1994-01-01,FROM,UNKNOWN,Amoco Norway Oil Company,7.35000,NULL,21356,78,9999-12-31,2013-05-08
070,1994-01-01,FROM,UNKNOWN,Norske Conoco A/S,7.35000,NULL,21356,221,9999-12-31,2013-05-08
070,1994-01-01,TO,UNKNOWN,Amoco Norway AS,14.70000,NULL,21356,89,9999-12-31,2013-05-08
070,1993-01-07,FROM,UNKNOWN,Norske Conoco A/S,0.15000,NULL,21356,221,9999-12-31,2013-05-08
070,1993-01-07,FROM,UNKNOWN,Norsk Hydro Produksjon AS,0.50000,NULL,21356,430,9999-12-31,2013-05-08
070,1993-01-07,FROM,UNKNOWN,Mobil Development Norway AS,7.50000,NULL,21356,474,9999-12-31,2013-05-08
070,1993-01-07,FROM,UNKNOWN,Saga Petroleum ASA,0.20000,NULL,21356,716,9999-12-31,2013-05-08
070,1993-01-07,TO,UNKNOWN,Amoco Norway Oil Company,7.35000,NULL,21356,78,9999-12-31,2013-05-08
070,1993-01-07,TO,UNKNOWN,Den norske stats oljeselskap a.s,1.00000,NULL,21356,749,9999-12-31,2013-05-08
072,2009-11-02,FROM,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,60.00000,NULL,21372,4511658,9999-12-31,2013-05-08
072,2009-11-02,TO,CHANGE OF COMPANY NAME,Statoil Petroleum AS,60.00000,NULL,21372,17237817,9999-12-31,2013-05-08
072,2009-01-01,FROM,TRANSFER,StatoilHydro ASA,50.00000,NULL,21372,4511854,9999-12-31,2013-05-08
072,2009-01-01,TO,TRANSFER,StatoilHydro Petroleum AS,50.00000,NULL,21372,4511658,9999-12-31,2013-05-08
072,2007-10-01,FROM,CHANGE OF COMPANY NAME,Statoil ASA (old),50.00000,NULL,21372,1622484,9999-12-31,2013-05-08
072,2007-10-01,FROM,CHANGE OF COMPANY NAME,Norsk Hydro Petroleum AS,10.00000,NULL,21372,4524355,9999-12-31,2013-05-08
072,2007-10-01,TO,CHANGE OF COMPANY NAME,StatoilHydro ASA,50.00000,NULL,21372,4511854,9999-12-31,2013-05-08
072,2007-10-01,TO,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,10.00000,NULL,21372,4511658,9999-12-31,2013-05-08
072,2007-01-01,FROM,MERGER/TAKEOVER,Norsk Hydro Produksjon AS,10.00000,NULL,21372,430,9999-12-31,2013-05-08
072,2007-01-01,TO,MERGER/TAKEOVER,Norsk Hydro Petroleum AS,10.00000,NULL,21372,4524355,9999-12-31,2013-05-08
072,2004-10-01,FROM,CHANGE OF COMPANY NAME,Esso Exploration and Production Norway A/S,40.00000,NULL,21372,353,9999-12-31,2013-05-08
072,2004-10-01,TO,CHANGE OF COMPANY NAME,ExxonMobil Exploration & Production Norway AS,40.00000,NULL,21372,2835212,9999-12-31,2013-05-08
072,2001-06-01,FROM,TRANSFER,SDØE,30.00000,NULL,21372,1623450,9999-12-31,2013-05-08
072,2001-06-01,TO,TRANSFER,Statoil ASA (old),30.00000,NULL,21372,1622484,9999-12-31,2013-05-08
072,2001-05-10,FROM,SDFI,Den norske stats oljeselskap a.s,50.00000,NULL,21372,749,9999-12-31,2013-05-08
072,2001-05-10,TO,SDFI,Statoil ASA (old),20.00000,NULL,21372,1622484,9999-12-31,2013-05-08
072,2001-05-10,TO,SDFI,SDØE,30.00000,NULL,21372,1623450,9999-12-31,2013-05-08
072 B,2009-11-02,FROM,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,50.00000,NULL,1630345,4511658,9999-12-31,2013-05-08
072 B,2009-11-02,TO,CHANGE OF COMPANY NAME,Statoil Petroleum AS,50.00000,NULL,1630345,17237817,9999-12-31,2013-05-08
072 B,2009-01-01,FROM,TRANSFER,StatoilHydro ASA,50.00000,NULL,1630345,4511854,9999-12-31,2013-05-08
072 B,2009-01-01,TO,TRANSFER,StatoilHydro Petroleum AS,50.00000,NULL,1630345,4511658,9999-12-31,2013-05-08
072 B,2007-10-01,FROM,CHANGE OF COMPANY NAME,Statoil ASA (old),50.00000,NULL,1630345,1622484,9999-12-31,2013-05-08
072 B,2007-10-01,TO,CHANGE OF COMPANY NAME,StatoilHydro ASA,50.00000,NULL,1630345,4511854,9999-12-31,2013-05-08
072 B,2004-10-01,FROM,CHANGE OF COMPANY NAME,Esso Exploration and Production Norway A/S,50.00000,NULL,1630345,353,9999-12-31,2013-05-08
072 B,2004-10-01,TO,CHANGE OF COMPANY NAME,ExxonMobil Exploration & Production Norway AS,50.00000,NULL,1630345,2835212,9999-12-31,2013-05-08
072 B,2001-11-12,FROM,TRANSFER,Norsk Hydro Produksjon AS,10.00000,NULL,1630345,430,9999-12-31,2013-05-08
072 B,2001-11-12,TO,TRANSFER,Esso Exploration and Production Norway A/S,10.00000,NULL,1630345,353,9999-12-31,2013-05-08
072 C,2011-12-22,FROM,TRANSFER,ExxonMobil Exploration & Production Norway AS,19.60000,NULL,21350207,2835212,9999-12-31,2013-05-08
072 C,2011-12-22,TO,TRANSFER,Statoil Petroleum AS,9.60000,NULL,21350207,17237817,9999-12-31,2013-05-08
072 C,2011-12-22,TO,TRANSFER,Total E&P Norge AS,10.00000,NULL,21350207,2410708,9999-12-31,2013-05-08
073,2009-11-02,FROM,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,58.76700,NULL,21380,4511658,9999-12-31,2013-05-08
073,2009-11-02,TO,CHANGE OF COMPANY NAME,Statoil Petroleum AS,58.76700,NULL,21380,17237817,9999-12-31,2013-05-08
073,2009-01-01,FROM,TRANSFER,StatoilHydro ASA,58.76700,NULL,21380,4511854,9999-12-31,2013-05-08
073,2009-01-01,TO,TRANSFER,StatoilHydro Petroleum AS,58.76700,NULL,21380,4511658,9999-12-31,2013-05-08
073,2008-01-02,FROM,TRANSFER,Mobil Development Norway AS,6.29000,NULL,21380,474,9999-12-31,2013-05-08
073,2008-01-02,TO,TRANSFER,ExxonMobil Exploration & Production Norway AS,6.29000,NULL,21380,2835212,9999-12-31,2013-05-08
073,2008-01-01,FROM,TRANSFER,StatoilHydro Petroleum AS,12.00000,NULL,21380,4511658,9999-12-31,2013-05-08
073,2008-01-01,TO,TRANSFER,StatoilHydro ASA,12.00000,NULL,21380,4511854,9999-12-31,2013-05-08
073,2007-10-01,FROM,CHANGE OF COMPANY NAME,Statoil ASA (old),46.76700,NULL,21380,1622484,9999-12-31,2013-05-08
073,2007-10-01,FROM,CHANGE OF COMPANY NAME,Norsk Hydro Petroleum AS,12.00000,NULL,21380,4524355,9999-12-31,2013-05-08
073,2007-10-01,TO,CHANGE OF COMPANY NAME,StatoilHydro ASA,46.76700,NULL,21380,4511854,9999-12-31,2013-05-08
073,2007-10-01,TO,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,12.00000,NULL,21380,4511658,9999-12-31,2013-05-08
073,2007-01-01,FROM,MERGER/TAKEOVER,Norsk Hydro Produksjon AS,12.00000,NULL,21380,430,9999-12-31,2013-05-08
073,2007-01-01,TO,MERGER/TAKEOVER,Norsk Hydro Petroleum AS,12.00000,NULL,21380,4524355,9999-12-31,2013-05-08
073,2006-01-02,FROM,TRANSFER,Eni Norge AS,2.10000,NULL,21380,2388594,9999-12-31,2013-05-08
073,2006-01-02,TO,TRANSFER,Total E&P Norge AS,2.10000,NULL,21380,2410708,9999-12-31,2013-05-08
073,2006-01-01,FROM,TRANSFER,Total E&P Norge AS,6.29000,NULL,21380,2410708,9999-12-31,2013-05-08
073,2006-01-01,TO,TRANSFER,Mobil Development Norway AS,6.29000,NULL,21380,474,9999-12-31,2013-05-08
073,2003-12-31,FROM,MERGER/TAKEOVER,Norsk Agip  AS,7.90000,NULL,21380,45,9999-12-31,2013-05-08
073,2003-12-31,TO,MERGER/TAKEOVER,Eni Norge AS,7.90000,NULL,21380,2388594,9999-12-31,2013-05-08
073,2003-09-15,FROM,TRANSFER,Statoil ASA (old),7.90000,NULL,21380,1622484,9999-12-31,2013-05-08
073,2003-09-15,TO,TRANSFER,Norsk Agip  AS,7.90000,NULL,21380,45,9999-12-31,2013-05-08
073,2003-05-06,FROM,CHANGE OF COMPANY NAME,TotalFinaElf Exploration Norge AS,33.33300,NULL,21380,1340884,9999-12-31,2013-05-08
073,2003-05-06,TO,CHANGE OF COMPANY NAME,Total E&P Norge AS,33.33300,NULL,21380,2410708,9999-12-31,2013-05-08
073,2001-12-18,FROM,MERGER/TAKEOVER,Total Norge AS,33.33300,NULL,21380,848,9999-12-31,2013-05-08
073,2001-12-18,TO,MERGER/TAKEOVER,TotalFinaElf Exploration Norge AS,33.33300,NULL,21380,1340884,9999-12-31,2013-05-08
073,2001-06-01,FROM,TRANSFER,SDØE,30.00000,NULL,21380,1623450,9999-12-31,2013-05-08
073,2001-06-01,TO,TRANSFER,Statoil ASA (old),30.00000,NULL,21380,1622484,9999-12-31,2013-05-08
073,2001-05-10,TO,SDFI,SDØE,30.00000,NULL,21380,1623450,9999-12-31,2013-05-08
073,2001-05-10,FROM,SDFI,Den norske stats oljeselskap a.s,54.66700,NULL,21380,749,9999-12-31,2013-05-08
073,2001-05-10,TO,SDFI,Statoil ASA (old),24.66700,NULL,21380,1622484,9999-12-31,2013-05-08
073,2000-01-31,FROM,TRANSFER,Norsk Hydro Produksjon AS,4.66700,NULL,21380,430,9999-12-31,2013-05-08
073,2000-01-31,TO,TRANSFER,Den norske stats oljeselskap a.s,4.66700,NULL,21380,749,9999-12-31,2013-05-08
073,1994-04-01,FROM,UNKNOWN,Amoco Norway AS,20.00000,NULL,21380,89,9999-12-31,2013-05-08
073,1994-04-01,TO,UNKNOWN,Norsk Hydro Produksjon AS,6.66700,NULL,21380,430,9999-12-31,2013-05-08
073,1994-04-01,TO,UNKNOWN,Total Norge AS,13.33300,NULL,21380,848,9999-12-31,2013-05-08
073,1993-04-01,FROM,UNKNOWN,Norske Conoco A/S,20.00000,NULL,21380,221,9999-12-31,2013-05-08
073,1993-04-01,TO,UNKNOWN,Total Norge AS,20.00000,NULL,21380,848,9999-12-31,2013-05-08
073 B,2009-11-02,FROM,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,58.83360,NULL,2987414,4511658,9999-12-31,2013-05-08
073 B,2009-11-02,TO,CHANGE OF COMPANY NAME,Statoil Petroleum AS,58.83360,NULL,2987414,17237817,9999-12-31,2013-05-08
073 B,2009-01-01,FROM,TRANSFER,StatoilHydro ASA,58.83360,NULL,2987414,4511854,9999-12-31,2013-05-08
073 B,2009-01-01,TO,TRANSFER,StatoilHydro Petroleum AS,58.83360,NULL,2987414,4511658,9999-12-31,2013-05-08
073 B,2008-01-02,FROM,TRANSFER,Mobil Development Norway AS,6.60000,NULL,2987414,474,9999-12-31,2013-05-08
073 B,2008-01-02,TO,TRANSFER,ExxonMobil Exploration & Production Norway AS,6.60000,NULL,2987414,2835212,9999-12-31,2013-05-08
073 B,2008-01-01,FROM,TRANSFER,StatoilHydro Petroleum AS,12.00000,NULL,2987414,4511658,9999-12-31,2013-05-08
073 B,2008-01-01,TO,TRANSFER,StatoilHydro ASA,12.00000,NULL,2987414,4511854,9999-12-31,2013-05-08
073 B,2007-10-01,FROM,CHANGE OF COMPANY NAME,Statoil ASA (old),46.83360,NULL,2987414,1622484,9999-12-31,2013-05-08
073 B,2007-10-01,FROM,CHANGE OF COMPANY NAME,Norsk Hydro Petroleum AS,12.00000,NULL,2987414,4524355,9999-12-31,2013-05-08
073 B,2007-10-01,TO,CHANGE OF COMPANY NAME,StatoilHydro ASA,46.83360,NULL,2987414,4511854,9999-12-31,2013-05-08
073 B,2007-10-01,TO,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,12.00000,NULL,2987414,4511658,9999-12-31,2013-05-08
073 B,2007-08-07,FROM,TRANSFER,ExxonMobil Exploration & Production Norway AS,6.60000,NULL,2987414,2835212,9999-12-31,2013-05-08
073 B,2007-08-07,TO,TRANSFER,Mobil Development Norway AS,6.60000,NULL,2987414,474,9999-12-31,2013-05-08
073 B,2007-01-01,FROM,MERGER/TAKEOVER,Norsk Hydro Produksjon AS,12.00000,NULL,2987414,430,9999-12-31,2013-05-08
073 B,2007-01-01,TO,MERGER/TAKEOVER,Norsk Hydro Petroleum AS,12.00000,NULL,2987414,4524355,9999-12-31,2013-05-08
074,2009-11-02,FROM,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,40.85000,NULL,21388,4511658,9999-12-31,2013-05-08
074,2009-11-02,TO,CHANGE OF COMPANY NAME,Statoil Petroleum AS,40.85000,NULL,21388,17237817,9999-12-31,2013-05-08
074,2009-01-01,FROM,TRANSFER,StatoilHydro ASA,40.85000,NULL,21388,4511854,9999-12-31,2013-05-08
074,2009-01-01,TO,TRANSFER,StatoilHydro Petroleum AS,40.85000,NULL,21388,4511658,9999-12-31,2013-05-08
074,2008-01-02,FROM,TRANSFER,Mobil Development Norway AS,9.80000,NULL,21388,474,9999-12-31,2013-05-08
074,2008-01-02,TO,TRANSFER,ExxonMobil Exploration & Production Norway AS,9.80000,NULL,21388,2835212,9999-12-31,2013-05-08
074,2008-01-01,FROM,TRANSFER,StatoilHydro Petroleum AS,9.80000,NULL,21388,4511658,9999-12-31,2013-05-08
074,2008-01-01,TO,TRANSFER,StatoilHydro ASA,9.80000,NULL,21388,4511854,9999-12-31,2013-05-08
074,2007-10-01,FROM,CHANGE OF COMPANY NAME,Statoil ASA (old),31.05000,NULL,21388,1622484,9999-12-31,2013-05-08
074,2007-10-01,FROM,CHANGE OF COMPANY NAME,Norsk Hydro Petroleum AS,9.80000,NULL,21388,4524355,9999-12-31,2013-05-08
074,2007-10-01,TO,CHANGE OF COMPANY NAME,StatoilHydro ASA,31.05000,NULL,21388,4511854,9999-12-31,2013-05-08
074,2007-10-01,TO,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,9.80000,NULL,21388,4511658,9999-12-31,2013-05-08
074,2007-01-01,FROM,MERGER/TAKEOVER,Norsk Hydro Produksjon AS,9.80000,NULL,21388,430,9999-12-31,2013-05-08
074,2007-01-01,TO,MERGER/TAKEOVER,Norsk Hydro Petroleum AS,9.80000,NULL,21388,4524355,9999-12-31,2013-05-08
074,2003-12-31,FROM,MERGER/TAKEOVER,Norsk Agip  AS,14.70000,NULL,21388,45,9999-12-31,2013-05-08
074,2003-12-31,TO,MERGER/TAKEOVER,Eni Norge AS,14.70000,NULL,21388,2388594,9999-12-31,2013-05-08
074,2003-03-04,FROM,CHANGE OF COMPANY NAME,Fortum Petroleum AS,14.70000,NULL,21388,102714,9999-12-31,2013-05-08
074,2003-03-04,TO,CHANGE OF COMPANY NAME,Eni Norge AS,14.70000,NULL,21388,2388594,9999-12-31,2013-05-08
074,2001-06-17,FROM,SDFI,SDØE,19.95000,NULL,21388,1623450,9999-12-31,2013-05-08
074,2001-06-17,TO,SDFI,Petoro AS,19.95000,NULL,21388,1626839,9999-12-31,2013-05-08
074,2001-06-01,FROM,TRANSFER,SDØE,11.45000,NULL,21388,1623450,9999-12-31,2013-05-08
074,2001-06-01,TO,TRANSFER,Statoil ASA (old),11.45000,NULL,21388,1622484,9999-12-31,2013-05-08
074,2001-05-10,FROM,SDFI,Den norske stats oljeselskap a.s,51.00000,NULL,21388,749,9999-12-31,2013-05-08
074,2001-05-10,TO,SDFI,Statoil ASA (old),19.60000,NULL,21388,1622484,9999-12-31,2013-05-08
074,2001-05-10,TO,SDFI,SDØE,31.40000,NULL,21388,1623450,9999-12-31,2013-05-08
074,2001-01-11,FROM,MERGER/TAKEOVER,Saga Petroleum ASA,9.80000,NULL,21388,716,9999-12-31,2013-05-08
074,2001-01-11,TO,MERGER/TAKEOVER,Norsk Hydro Produksjon AS,9.80000,NULL,21388,430,9999-12-31,2013-05-08
074,1999-04-13,FROM,CHANGE OF COMPANY NAME,Neste Petroleum AS,14.70000,NULL,21388,496,9999-12-31,2013-05-08
074,1999-04-13,TO,CHANGE OF COMPANY NAME,Fortum Petroleum AS,14.70000,NULL,21388,102714,9999-12-31,2013-05-08
074,1995-04-05,FROM,UNKNOWN,Norsk Agip  AS,0.30000,NULL,21388,45,9999-12-31,2013-05-08
074,1995-04-05,FROM,UNKNOWN,Deminex Norge AS,10.00000,NULL,21388,254,9999-12-31,2013-05-08
074,1995-04-05,FROM,UNKNOWN,Neste Petroleum AS,0.30000,NULL,21388,496,9999-12-31,2013-05-08
074,1995-04-05,FROM,UNKNOWN,Saga Petroleum ASA,0.20000,NULL,21388,716,9999-12-31,2013-05-08
074,1995-04-05,TO,UNKNOWN,Mobil Development Norway AS,9.80000,NULL,21388,474,9999-12-31,2013-05-08
074,1995-04-05,TO,UNKNOWN,Den norske stats oljeselskap a.s,1.00000,NULL,21388,749,9999-12-31,2013-05-08
074,1990-07-25,FROM,UNKNOWN,Arco Norge A/S,15.00000,NULL,21388,122,9999-12-31,2013-05-08
074,1990-07-25,TO,UNKNOWN,Neste Petroleum AS,15.00000,NULL,21388,496,9999-12-31,2013-05-08
074 B,2009-11-02,FROM,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,40.85000,NULL,4918544,4511658,9999-12-31,2013-05-08
074 B,2009-11-02,TO,CHANGE OF COMPANY NAME,Statoil Petroleum AS,40.85000,NULL,4918544,17237817,9999-12-31,2013-05-08
074 B,2009-01-01,FROM,TRANSFER,StatoilHydro ASA,40.85000,NULL,4918544,4511854,9999-12-31,2013-05-08
074 B,2009-01-01,TO,TRANSFER,StatoilHydro Petroleum AS,40.85000,NULL,4918544,4511658,9999-12-31,2013-05-08
074 B,2008-03-01,FROM,TRANSFER,Mobil Development Norway AS,9.80000,NULL,4918544,474,9999-12-31,2013-05-08
074 B,2008-03-01,TO,TRANSFER,ExxonMobil Exploration & Production Norway AS,9.80000,NULL,4918544,2835212,9999-12-31,2013-05-08
077,2009-11-02,FROM,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,48.00000,NULL,21412,4511658,9999-12-31,2013-05-08
077,2009-11-02,TO,CHANGE OF COMPANY NAME,Statoil Petroleum AS,48.00000,NULL,21412,17237817,9999-12-31,2013-05-08
077,2009-01-02,FROM,TRANSFER,StatoilHydro ASA,48.00000,NULL,21412,4511854,9999-12-31,2013-05-08
077,2009-01-02,TO,TRANSFER,StatoilHydro Petroleum AS,48.00000,NULL,21412,4511658,9999-12-31,2013-05-08
077,2009-01-01,FROM,CHANGE OF COMPANY NAME,Gaz de France Norge AS,12.00000,NULL,21412,1628733,9999-12-31,2013-05-08
077,2009-01-01,TO,CHANGE OF COMPANY NAME,GDF SUEZ E&P Norge AS,12.00000,NULL,21412,5267845,9999-12-31,2013-05-08
077,2007-10-01,FROM,CHANGE OF COMPANY NAME,Statoil ASA (old),48.00000,NULL,21412,1622484,9999-12-31,2013-05-08
077,2007-10-01,TO,CHANGE OF COMPANY NAME,StatoilHydro ASA,48.00000,NULL,21412,4511854,9999-12-31,2013-05-08
077,2004-01-01,FROM,TRANSFER,Norsk Hydro Produksjon AS,10.00000,NULL,21412,430,9999-12-31,2013-05-08
077,2004-01-01,TO,TRANSFER,Statoil ASA (old),10.00000,NULL,21412,1622484,9999-12-31,2013-05-08
077,2003-05-06,FROM,CHANGE OF COMPANY NAME,TotalFinaElf Exploration Norge AS,10.00000,NULL,21412,1340884,9999-12-31,2013-05-08
077,2003-05-06,TO,CHANGE OF COMPANY NAME,Total E&P Norge AS,10.00000,NULL,21412,2410708,9999-12-31,2013-05-08
077,2001-12-18,FROM,MERGER/TAKEOVER,Total Norge AS,10.00000,NULL,21412,848,9999-12-31,2013-05-08
