baaName,baaTransferDateValidFrom,baaTransferDirection,baaTransferKind,cmpLongName,baaTransferredInterest,baaTransferSdfi,baaNpdidBsnsArrArea,cmpNpdidCompany,baaTransferDateUpdated,dateSyncNPD
HALTENBANKEN VEST UNIT,2009-11-01,TO,CHANGE OF COMPANY NAME,Statoil Petroleum AS,55.29910,NULL,1854695,17237817,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2009-01-01,FROM,MERGER/TAKEOVER,StatoilHydro ASA,55.29910,NULL,1854695,4511854,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2009-01-01,TO,MERGER/TAKEOVER,StatoilHydro Petroleum AS,55.29910,NULL,1854695,4511658,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2008-01-02,FROM,NULL,Mobil Development Norway AS,10.87610,NULL,1854695,474,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2008-01-02,TO,NULL,ExxonMobil Exploration & Production Norway AS,10.87610,NULL,1854695,2835212,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2008-01-01,FROM,NULL,StatoilHydro Petroleum AS,14.00000,NULL,1854695,4511658,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2008-01-01,TO,NULL,StatoilHydro ASA,14.00000,NULL,1854695,4511854,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2007-10-01,FROM,NULL,Statoil ASA (old),41.29910,NULL,1854695,1622484,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2007-10-01,FROM,NULL,Norsk Hydro Petroleum AS,14.00000,NULL,1854695,4524355,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2007-10-01,TO,NULL,StatoilHydro ASA,41.29910,NULL,1854695,4511854,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2007-10-01,TO,NULL,StatoilHydro Petroleum AS,14.00000,NULL,1854695,4511658,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2007-01-01,FROM,NULL,Norsk Hydro Produksjon AS,14.00000,NULL,1854695,430,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2007-01-01,TO,NULL,Norsk Hydro Petroleum AS,14.00000,NULL,1854695,4524355,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2005-07-01,FROM,NULL,Eni Norge AS,0.75220,NULL,1854695,2388594,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2005-07-01,FROM,NULL,Statoil ASA (old),0.30090,NULL,1854695,1622484,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2005-07-01,TO,NULL,Mobil Development Norway AS,0.37610,NULL,1854695,474,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2005-07-01,TO,NULL,Petoro AS,0.67700,NULL,1854695,1626839,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2004-01-02,FROM,NULL,Statoil ASA (old),3.00000,NULL,1854695,1622484,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2004-01-02,TO,NULL,Total E&P Norge AS,3.00000,NULL,1854695,2410708,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2004-01-01,FROM,NULL,Statoil ASA (old),2.00000,NULL,1854695,1622484,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2004-01-01,TO,NULL,Norsk Hydro Produksjon AS,2.00000,NULL,1854695,430,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2003-12-31,FROM,NULL,Norsk Agip  AS,9.00000,NULL,1854695,45,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2003-12-31,TO,NULL,Eni Norge AS,9.00000,NULL,1854695,2388594,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2003-05-06,FROM,NULL,TotalFinaElf Exploration Norge AS,3.00000,NULL,1854695,1340884,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2003-05-06,TO,NULL,Total E&P Norge AS,3.00000,NULL,1854695,2410708,9999-12-31,2013-05-08
HEIDRUN UNIT,2009-11-01,FROM,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,12.40568,NULL,40490,4511658,9999-12-31,2013-05-08
HEIDRUN UNIT,2009-11-01,TO,CHANGE OF COMPANY NAME,Statoil Petroleum AS,12.40568,NULL,40490,17237817,9999-12-31,2013-05-08
HEIDRUN UNIT,2009-01-01,FROM,MERGER/TAKEOVER,StatoilHydro ASA,12.40568,NULL,40490,4511854,9999-12-31,2013-05-08
HEIDRUN UNIT,2009-01-01,TO,MERGER/TAKEOVER,StatoilHydro Petroleum AS,12.40568,NULL,40490,4511658,9999-12-31,2013-05-08
HEIDRUN UNIT,2007-10-01,FROM,NULL,Statoil ASA (old),12.40568,NULL,40490,1622484,9999-12-31,2013-05-08
HEIDRUN UNIT,2007-10-01,TO,NULL,StatoilHydro ASA,12.40568,NULL,40490,4511854,9999-12-31,2013-05-08
HEIDRUN UNIT,2007-01-02,FROM,NULL,Norske ConocoPhillips AS,24.31055,NULL,40490,2399056,9999-12-31,2013-05-08
HEIDRUN UNIT,2007-01-02,TO,NULL,ConocoPhillips Skandinavia AS,24.31055,NULL,40490,2410696,9999-12-31,2013-05-08
HEIDRUN UNIT,2003-06-11,FROM,NULL,Statoil ASA (old),0.02570,NULL,40490,1622484,9999-12-31,2013-05-08
HEIDRUN UNIT,2003-06-11,FROM,NULL,Eni Norge AS,0.00127,NULL,40490,2388594,9999-12-31,2013-05-08
HEIDRUN UNIT,2003-06-11,TO,NULL,Norske ConocoPhillips AS,0.01804,NULL,40490,2399056,9999-12-31,2013-05-08
HEIDRUN UNIT,2003-06-11,TO,NULL,Petoro AS,0.00893,NULL,40490,1626839,9999-12-31,2013-05-08
HEIDRUN UNIT,2003-03-22,FROM,NULL,Norske Conoco A/S,24.29251,NULL,40490,221,9999-12-31,2013-05-08
HEIDRUN UNIT,2003-03-22,TO,NULL,Norske ConocoPhillips AS,24.29251,NULL,40490,2399056,9999-12-31,2013-05-08
HEIDRUN UNIT,2003-03-04,FROM,NULL,Fortum Petroleum AS,5.12064,NULL,40490,102714,9999-12-31,2013-05-08
HEIDRUN UNIT,2003-03-04,TO,NULL,Eni Norge AS,5.12064,NULL,40490,2388594,9999-12-31,2013-05-08
HEIDRUN UNIT,2002-03-19,FROM,NULL,Petoro AS,6.00000,NULL,40490,1626839,9999-12-31,2013-05-08
HEIDRUN UNIT,2002-03-19,TO,NULL,Norske Conoco A/S,6.00000,NULL,40490,221,9999-12-31,2013-05-08
HEIDRUN UNIT,2001-06-17,FROM,NULL,SDØE,64.15547,NULL,40490,1623450,9999-12-31,2013-05-08
HEIDRUN UNIT,2001-06-17,TO,NULL,Petoro AS,64.15547,NULL,40490,1626839,9999-12-31,2013-05-08
HEIDRUN UNIT,2001-05-10,FROM,NULL,Den norske stats oljeselskap a.s,76.58685,NULL,40490,749,9999-12-31,2013-05-08
HEIDRUN UNIT,2001-05-10,TO,NULL,Statoil ASA (old),12.43138,NULL,40490,1622484,9999-12-31,2013-05-08
HEIDRUN UNIT,2001-05-10,TO,NULL,SDØE,64.15547,NULL,40490,1623450,9999-12-31,2013-05-08
HEIDRUN UNIT,2000-01-01,FROM,NULL,Den norske stats oljeselskap a.s,0.84453,0.84453,40490,749,9999-12-31,2013-05-08
HEIDRUN UNIT,2000-01-01,TO,NULL,Den norske stats oljeselskap a.s,0.55638,NULL,40490,749,9999-12-31,2013-05-08
HEIDRUN UNIT,2000-01-01,TO,NULL,Fortum Petroleum AS,0.12064,NULL,40490,102714,9999-12-31,2013-05-08
HEIDRUN UNIT,2000-01-01,TO,NULL,Norske Conoco A/S,0.16751,NULL,40490,221,9999-12-31,2013-05-08
HEIDRUN UNIT,1999-04-13,FROM,NULL,Neste Petroleum AS,5.00000,NULL,40490,496,9999-12-31,2013-05-08
HEIDRUN UNIT,1999-04-13,TO,NULL,Fortum Petroleum AS,5.00000,NULL,40490,102714,9999-12-31,2013-05-08
HEIDRUN UNIT,1995-06-22,FROM,NULL,Saga Petroleum ASA,0.62500,NULL,40490,716,9999-12-31,2013-05-08
HEIDRUN UNIT,1995-06-22,TO,NULL,Den norske stats oljeselskap a.s,0.62500,NULL,40490,749,9999-12-31,2013-05-08
HEIDRUN UNIT,1995-03-06,FROM,NULL,DNO Olje A/S,0.62500,NULL,40490,276,9999-12-31,2013-05-08
HEIDRUN UNIT,1995-03-06,TO,NULL,Saga Petroleum ASA,0.62500,NULL,40490,716,9999-12-31,2013-05-08
HEIDRUN UNIT,1993-12-13,FROM,NULL,Norsk Hydro Produksjon AS,1.25000,NULL,40490,430,9999-12-31,2013-05-08
HEIDRUN UNIT,1993-12-13,FROM,NULL,Norminol AS,0.62500,NULL,40490,529,9999-12-31,2013-05-08
HEIDRUN UNIT,1993-12-13,TO,NULL,Den norske stats oljeselskap a.s,1.25000,NULL,40490,749,9999-12-31,2013-05-08
HEIDRUN UNIT,1993-12-13,TO,NULL,DNO Olje A/S,0.62500,NULL,40490,276,9999-12-31,2013-05-08
HEIDRUN UNIT,1992-08-14,FROM,NULL,DNO Olje A/S,0.62500,NULL,40490,276,9999-12-31,2013-05-08
HEIDRUN UNIT,1992-08-14,TO,NULL,Norminol AS,0.62500,NULL,40490,529,9999-12-31,2013-05-08
HEIMDAL UNIT,2003-05-06,FROM,NULL,TotalFinaElf Exploration Norge AS,16.75900,NULL,41470,1340884,9999-12-31,2013-05-08
HEIMDAL UNIT,2003-05-06,TO,NULL,Total E&P Norge AS,16.75900,NULL,41470,2410708,9999-12-31,2013-05-08
HEIMDAL UNIT,2001-12-18,FROM,NULL,Total Norge AS,4.82000,NULL,41470,848,9999-12-31,2013-05-08
HEIMDAL UNIT,2001-12-18,TO,NULL,TotalFinaElf Exploration Norge AS,4.82000,NULL,41470,1340884,9999-12-31,2013-05-08
HEIMDAL UNIT,2001-06-17,FROM,NULL,SDØE,20.00000,NULL,41470,1623450,9999-12-31,2013-05-08
HEIMDAL UNIT,2001-06-17,TO,NULL,Petoro AS,20.00000,NULL,41470,1626839,9999-12-31,2013-05-08
HEIMDAL UNIT,2001-05-10,FROM,NULL,Den norske stats oljeselskap a.s,40.00000,NULL,41470,749,9999-12-31,2013-05-08
HEIMDAL UNIT,2001-05-10,TO,NULL,SDØE,20.00000,NULL,41470,1623450,9999-12-31,2013-05-08
HEIMDAL UNIT,2001-05-10,TO,NULL,Statoil ASA (old),20.00000,NULL,41470,1622484,9999-12-31,2013-05-08
HEIMDAL UNIT,2001-01-11,FROM,NULL,Saga Petroleum ASA,3.47100,NULL,41470,716,9999-12-31,2013-05-08
HEIMDAL UNIT,2001-01-11,TO,NULL,Norsk Hydro Produksjon AS,3.47100,NULL,41470,430,9999-12-31,2013-05-08
HEIMDAL UNIT,2000-07-24,FROM,NULL,Elf Petroleum Norge AS,11.93900,NULL,41470,298,9999-12-31,2013-05-08
HEIMDAL UNIT,2000-07-24,TO,NULL,TotalFinaElf Exploration Norge AS,11.93900,NULL,41470,1340884,9999-12-31,2013-05-08
HEIMDAL UNIT,1998-01-01,FROM,NULL,Elf Petroleum Norge AS,9.57500,NULL,41470,298,9999-12-31,2013-05-08
HEIMDAL UNIT,1998-01-01,TO,NULL,Norsk Hydro Produksjon AS,9.57500,NULL,41470,430,9999-12-31,2013-05-08
HEIMDAL UNIT,1996-01-01,FROM,NULL,Ugland Construction Company AS,0.16900,NULL,41470,859,9999-12-31,2013-05-08
HEIMDAL UNIT,1996-01-01,TO,NULL,AS Uglands Rederi,0.16900,NULL,41470,40103,9999-12-31,2013-05-08
HEIMDAL UNIT,1992-08-14,FROM,NULL,Elf Aquitaine Norge A/S,21.51400,NULL,41470,331,9999-12-31,2013-05-08
HEIMDAL UNIT,1992-08-14,TO,NULL,Elf Petroleum Norge AS,21.51400,NULL,41470,298,9999-12-31,2013-05-08
HEIMDAL UNIT,1989-06-15,FROM,NULL,Sunningdale Oil Norge A/S,3.87500,NULL,41470,760,9999-12-31,2013-05-08
HEIMDAL UNIT,1989-06-15,TO,NULL,Elf Aquitaine Norge A/S,3.87500,NULL,41470,331,9999-12-31,2013-05-08
HEIMDAL UNIT,1987-03-26,FROM,NULL,Bow Valley Exploration Norge A/S,8.00000,NULL,41470,144,9999-12-31,2013-05-08
HEIMDAL UNIT,1987-03-26,TO,NULL,Elf Aquitaine Norge A/S,8.00000,NULL,41470,331,9999-12-31,2013-05-08
HEIMDAL UNIT,1985-01-01,FROM,NULL,Den norske stats oljeselskap a.s,40.00000,NULL,41470,749,9999-12-31,2013-05-08
HEIMDAL UNIT,1985-01-01,TO,NULL,Den norske stats oljeselskap a.s,40.00000,20.00000,41470,749,9999-12-31,2013-05-08
HEIMDAL UNIT,1980-01-01,FROM,NULL,Pan Ocean Oil Norge A/S,26.48500,NULL,41470,595,9999-12-31,2013-05-08
HEIMDAL UNIT,1980-01-01,TO,NULL,Total Norge AS,0.89600,NULL,41470,848,9999-12-31,2013-05-08
HEIMDAL UNIT,1980-01-01,TO,NULL,Marathon Petroleum Norge AS,23.79800,NULL,41470,463,9999-12-31,2013-05-08
HEIMDAL UNIT,1980-01-01,TO,NULL,Elf Aquitaine Norge A/S,1.79100,NULL,41470,331,9999-12-31,2013-05-08
HEIMDAL UNIT,1978-01-01,FROM,NULL,K/S Femogtyvefire Norsk A/S,10.75000,NULL,41470,375,9999-12-31,2013-05-08
HEIMDAL UNIT,1978-01-01,TO,NULL,Ugland Construction Company AS,0.16900,NULL,41470,859,9999-12-31,2013-05-08
HEIMDAL UNIT,1978-01-01,TO,NULL,Saga Petroleum ASA,3.47100,NULL,41470,716,9999-12-31,2013-05-08
HEIMDAL UNIT,1978-01-01,TO,NULL,Pan Ocean Oil Norge A/S,7.11000,NULL,41470,595,9999-12-31,2013-05-08
HEIMDAL UNIT,1977-07-01,FROM,NULL,Aquitaine Norge A/S,2.61500,NULL,41470,111,9999-12-31,2013-05-08
HEIMDAL UNIT,1977-07-01,FROM,NULL,Elf Norge A/S,5.23300,NULL,41470,287,9999-12-31,2013-05-08
HEIMDAL UNIT,1977-07-01,TO,NULL,Elf Aquitaine Norge A/S,7.84800,NULL,41470,331,9999-12-31,2013-05-08
HULDRA UNIT,2011-01-01,FROM,TRANSFER,Talisman Resources Norge AS,0.49790,NULL,41189,3987574,9999-12-31,2013-05-08
HULDRA UNIT,2011-01-01,TO,TRANSFER,Talisman Energy Norge AS,0.49790,NULL,41189,2425093,9999-12-31,2013-05-08
HULDRA UNIT,2009-11-01,FROM,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,19.87851,NULL,41189,4511658,9999-12-31,2013-05-08
HULDRA UNIT,2009-11-01,TO,CHANGE OF COMPANY NAME,Statoil Petroleum AS,19.87851,NULL,41189,17237817,9999-12-31,2013-05-08
HULDRA UNIT,2009-01-02,FROM,TRANSFER,Talisman Energy Norge AS,0.49790,NULL,41189,2425093,9999-12-31,2013-05-08
HULDRA UNIT,2009-01-02,TO,TRANSFER,Talisman Resources Norge AS,0.49790,NULL,41189,3987574,9999-12-31,2013-05-08
HULDRA UNIT,2009-01-01,FROM,MERGER/TAKEOVER,StatoilHydro ASA,19.87851,NULL,41189,4511854,9999-12-31,2013-05-08
HULDRA UNIT,2009-01-01,TO,MERGER/TAKEOVER,StatoilHydro Petroleum AS,19.87851,NULL,41189,4511658,9999-12-31,2013-05-08
HULDRA UNIT,2007-10-01,FROM,NULL,Statoil ASA (old),19.87851,NULL,41189,1622484,9999-12-31,2013-05-08
HULDRA UNIT,2007-10-01,TO,NULL,StatoilHydro ASA,19.87851,NULL,41189,4511854,9999-12-31,2013-05-08
HULDRA UNIT,2007-01-02,FROM,NULL,Norske ConocoPhillips AS,23.33625,NULL,41189,2399056,9999-12-31,2013-05-08
HULDRA UNIT,2007-01-02,TO,NULL,ConocoPhillips Skandinavia AS,23.33625,NULL,41189,2410696,9999-12-31,2013-05-08
HULDRA UNIT,2006-10-13,FROM,NULL,Talisman Resources Norge AS,0.49790,NULL,41189,3987574,9999-12-31,2013-05-08
HULDRA UNIT,2006-10-13,TO,NULL,Talisman Energy Norge AS,0.49790,NULL,41189,2425093,9999-12-31,2013-05-08
HULDRA UNIT,2006-03-22,FROM,NULL,Paladin Resources Norge AS,0.49790,NULL,41189,1577943,9999-12-31,2013-05-08
HULDRA UNIT,2006-03-22,TO,NULL,Talisman Resources Norge AS,0.49790,NULL,41189,3987574,9999-12-31,2013-05-08
HULDRA UNIT,2004-01-01,FROM,NULL,Svenska Petroleum Exploration AS,0.21375,NULL,41189,738,9999-12-31,2013-05-08
HULDRA UNIT,2004-01-01,TO,NULL,Statoil ASA (old),0.21375,NULL,41189,1622484,9999-12-31,2013-05-08
HULDRA UNIT,2003-05-22,FROM,NULL,Statoil ASA (old),0.00001,NULL,41189,1622484,9999-12-31,2013-05-08
HULDRA UNIT,2003-05-22,FROM,NULL,Total E&P Norge AS,0.00001,NULL,41189,2410708,9999-12-31,2013-05-08
HULDRA UNIT,2003-05-22,TO,NULL,Paladin Resources Norge AS,0.00002,NULL,41189,1577943,9999-12-31,2013-05-08
HULDRA UNIT,2003-05-06,FROM,NULL,TotalFinaElf Exploration Norge AS,24.33201,NULL,41189,1340884,9999-12-31,2013-05-08
HULDRA UNIT,2003-05-06,TO,NULL,Total E&P Norge AS,24.33201,NULL,41189,2410708,9999-12-31,2013-05-08
HULDRA UNIT,2003-03-22,FROM,NULL,Norske Conoco A/S,23.33625,NULL,41189,221,9999-12-31,2013-05-08
HULDRA UNIT,2003-03-22,TO,NULL,Norske ConocoPhillips AS,23.33625,NULL,41189,2399056,9999-12-31,2013-05-08
HULDRA UNIT,2001-12-18,FROM,NULL,Total Norge AS,24.33201,NULL,41189,848,9999-12-31,2013-05-08
HULDRA UNIT,2001-12-18,TO,NULL,TotalFinaElf Exploration Norge AS,24.33201,NULL,41189,1340884,9999-12-31,2013-05-08
HULDRA UNIT,2001-06-17,FROM,NULL,SDØE,31.95534,NULL,41189,1623450,9999-12-31,2013-05-08
HULDRA UNIT,2001-06-17,TO,NULL,Petoro AS,31.95534,NULL,41189,1626839,9999-12-31,2013-05-08
HULDRA UNIT,2001-05-10,FROM,NULL,Den norske stats oljeselskap a.s,51.62011,NULL,41189,749,9999-12-31,2013-05-08
HULDRA UNIT,2001-05-10,TO,NULL,Statoil ASA (old),19.66477,NULL,41189,1622484,9999-12-31,2013-05-08
HULDRA UNIT,2001-05-10,TO,NULL,SDØE,31.95534,NULL,41189,1623450,9999-12-31,2013-05-08
HULDRA UNIT,2001-01-23,FROM,NULL,Petro-Canada Norge AS (old),0.49788,NULL,41189,628,9999-12-31,2013-05-08
HULDRA UNIT,2001-01-23,TO,NULL,Paladin Resources Norge AS,0.49788,NULL,41189,1577943,9999-12-31,2013-05-08
JETTE UNIT,2012-01-06,FROM,TRANSFER,Det norske oljeselskap ASA,18.00000,NULL,21077388,17342870,9999-12-31,2013-05-08
JETTE UNIT,2012-01-06,TO,TRANSFER,Petoro AS,18.00000,NULL,21077388,1626839,9999-12-31,2013-05-08
JOTUN UNIT,2011-01-01,FROM,TRANSFER,Petoro AS,3.00000,NULL,40655,1626839,9999-12-31,2013-05-08
JOTUN UNIT,2011-01-01,TO,TRANSFER,Faroe Petroleum Norge AS,3.00000,NULL,40655,4062883,9999-12-31,2013-05-08
JOTUN UNIT,2009-12-22,FROM,MERGER/TAKEOVER,Det norske oljeselskap ASA (old),7.00000,NULL,40655,4539989,9999-12-31,2013-05-08
JOTUN UNIT,2009-12-22,TO,MERGER/TAKEOVER,Det norske oljeselskap ASA,7.00000,NULL,40655,17342870,9999-12-31,2013-05-08
JOTUN UNIT,2008-01-01,FROM,TRANSFER,Lundin Norway AS,7.00000,NULL,40655,2767314,9999-12-31,2013-05-08
JOTUN UNIT,2008-01-01,TO,TRANSFER,Det norske oljeselskap ASA (old),7.00000,NULL,40655,4539989,9999-12-31,2013-05-08
JOTUN UNIT,2007-10-04,FROM,NULL,Dana Petroleum Norway ASA,45.00000,NULL,40655,4510514,9999-12-31,2013-05-08
JOTUN UNIT,2007-10-04,TO,NULL,Dana Petroleum Norway AS,45.00000,NULL,40655,4526555,9999-12-31,2013-05-08
JOTUN UNIT,2007-08-10,FROM,NULL,Ener Petroleum ASA,45.00000,NULL,40655,3482290,9999-12-31,2013-05-08
JOTUN UNIT,2007-08-10,TO,NULL,Dana Petroleum Norway ASA,45.00000,NULL,40655,4510514,9999-12-31,2013-05-08
JOTUN UNIT,2006-10-24,FROM,NULL,Enterprise Oil Norge AS,45.00000,NULL,40655,1853786,9999-12-31,2013-05-08
JOTUN UNIT,2006-10-24,TO,NULL,Ener Petroleum ASA,45.00000,NULL,40655,3482290,9999-12-31,2013-05-08
JOTUN UNIT,2004-10-01,FROM,NULL,Esso Exploration and Production Norway A/S,45.00000,NULL,40655,353,9999-12-31,2013-05-08
JOTUN UNIT,2004-10-01,TO,NULL,ExxonMobil Exploration & Production Norway AS,45.00000,NULL,40655,2835212,9999-12-31,2013-05-08
JOTUN UNIT,2004-01-01,FROM,NULL,Det Norske Oljeselskap AS,7.00000,NULL,40655,1340609,9999-12-31,2013-05-08
JOTUN UNIT,2004-01-01,TO,NULL,Lundin Norway AS,7.00000,NULL,40655,2767314,9999-12-31,2013-05-08
JOTUN UNIT,2002-01-01,FROM,NULL,Norske Conoco A/S,3.75000,NULL,40655,221,9999-12-31,2013-05-08
JOTUN UNIT,2002-01-01,TO,NULL,Det Norske Oljeselskap AS,3.75000,NULL,40655,1340609,9999-12-31,2013-05-08
JOTUN UNIT,2001-12-31,FROM,NULL,Enterprise Oil Norwegian AS,45.00000,NULL,40655,342,9999-12-31,2013-05-08
JOTUN UNIT,2001-12-31,TO,NULL,Enterprise Oil Norge AS,45.00000,NULL,40655,1853786,9999-12-31,2013-05-08
JOTUN UNIT,2001-06-17,FROM,NULL,SDØE,3.00000,NULL,40655,1623450,9999-12-31,2013-05-08
JOTUN UNIT,2001-06-17,TO,NULL,Petoro AS,3.00000,NULL,40655,1626839,9999-12-31,2013-05-08
JOTUN UNIT,2001-05-10,FROM,NULL,Den norske stats oljeselskap a.s,3.00000,NULL,40655,749,9999-12-31,2013-05-08
JOTUN UNIT,2001-05-10,TO,NULL,SDØE,3.00000,NULL,40655,1623450,9999-12-31,2013-05-08
JOTUN UNIT,2001-01-01,FROM,NULL,Den norske stats oljeselskap a.s,2.00000,NULL,40655,749,9999-12-31,2013-05-08
JOTUN UNIT,2001-01-01,TO,NULL,Det Norske Oljeselskap AS,2.00000,NULL,40655,1340609,9999-12-31,2013-05-08
JOTUN UNIT,2000-11-23,FROM,NULL,Amerada Hess Norge AS,1.25000,NULL,40655,67,9999-12-31,2013-05-08
JOTUN UNIT,2000-11-23,TO,NULL,Det Norske Oljeselskap AS,1.25000,NULL,40655,1340609,9999-12-31,2013-05-08
MARTIN LINGE UNIT,2012-01-13,FROM,TRANSFER,Statoil Petroleum AS,2.00000,NULL,3812119,17237817,2012-06-13,2013-05-08
MARTIN LINGE UNIT,2012-01-13,TO,TRANSFER,Total E&P Norge AS,2.00000,NULL,3812119,2410708,2012-06-13,2013-05-08
MARTIN LINGE UNIT,2009-11-01,FROM,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,21.00000,NULL,3812119,4511658,2012-06-13,2013-05-08
MARTIN LINGE UNIT,2009-11-01,TO,CHANGE OF COMPANY NAME,Statoil Petroleum AS,21.00000,NULL,3812119,17237817,2012-06-13,2013-05-08
MARTIN LINGE UNIT,2009-01-01,FROM,MERGER/TAKEOVER,StatoilHydro ASA,21.00000,NULL,3812119,4511854,2012-06-13,2013-05-08
MARTIN LINGE UNIT,2009-01-01,TO,MERGER/TAKEOVER,StatoilHydro Petroleum AS,21.00000,NULL,3812119,4511658,2012-06-13,2013-05-08
MARTIN LINGE UNIT,2007-10-01,FROM,NULL,Statoil ASA (old),21.00000,NULL,3812119,1622484,2012-06-13,2013-05-08
MARTIN LINGE UNIT,2007-10-01,TO,NULL,StatoilHydro ASA,21.00000,NULL,3812119,4511854,2012-06-13,2013-05-08
MIKKEL UNIT,2009-11-01,FROM,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,43.97000,NULL,1629477,4511658,9999-12-31,2013-05-08
MIKKEL UNIT,2009-11-01,TO,CHANGE OF COMPANY NAME,Statoil Petroleum AS,43.97000,NULL,1629477,17237817,9999-12-31,2013-05-08
MIKKEL UNIT,2009-01-01,FROM,MERGER/TAKEOVER,StatoilHydro ASA,43.97000,NULL,1629477,4511854,9999-12-31,2013-05-08
MIKKEL UNIT,2009-01-01,TO,MERGER/TAKEOVER,StatoilHydro Petroleum AS,43.97000,NULL,1629477,4511658,9999-12-31,2013-05-08
MIKKEL UNIT,2008-01-02,FROM,MERGER/TAKEOVER,Mobil Development Norway AS,33.48000,NULL,1629477,474,9999-12-31,2013-05-08
MIKKEL UNIT,2008-01-02,TO,MERGER/TAKEOVER,ExxonMobil Exploration & Production Norway AS,33.48000,NULL,1629477,2835212,9999-12-31,2013-05-08
MIKKEL UNIT,2008-01-01,FROM,NULL,StatoilHydro Petroleum AS,10.00000,NULL,1629477,4511658,9999-12-31,2013-05-08
MIKKEL UNIT,2008-01-01,TO,NULL,StatoilHydro ASA,10.00000,NULL,1629477,4511854,9999-12-31,2013-05-08
MIKKEL UNIT,2007-10-01,FROM,NULL,Statoil ASA (old),33.97000,NULL,1629477,1622484,9999-12-31,2013-05-08
MIKKEL UNIT,2007-10-01,FROM,NULL,Norsk Hydro Petroleum AS,10.00000,NULL,1629477,4524355,9999-12-31,2013-05-08
MIKKEL UNIT,2007-10-01,TO,NULL,StatoilHydro Petroleum AS,10.00000,NULL,1629477,4511658,9999-12-31,2013-05-08
MIKKEL UNIT,2007-10-01,TO,NULL,StatoilHydro ASA,33.97000,NULL,1629477,4511854,9999-12-31,2013-05-08
MIKKEL UNIT,2007-01-01,FROM,NULL,Norsk Hydro Produksjon AS,10.00000,NULL,1629477,430,9999-12-31,2013-05-08
MIKKEL UNIT,2007-01-01,TO,NULL,Norsk Hydro Petroleum AS,10.00000,NULL,1629477,4524355,9999-12-31,2013-05-08
MIKKEL UNIT,2004-01-01,FROM,NULL,Statoil ASA (old),7.65000,NULL,1629477,1622484,9999-12-31,2013-05-08
MIKKEL UNIT,2004-01-01,TO,NULL,Total E&P Norge AS,7.65000,NULL,1629477,2410708,9999-12-31,2013-05-08
MIKKEL UNIT,2003-12-31,FROM,NULL,Norsk Agip  AS,7.90000,NULL,1629477,45,9999-12-31,2013-05-08
MIKKEL UNIT,2003-12-31,TO,NULL,Eni Norge AS,7.90000,NULL,1629477,2388594,9999-12-31,2013-05-08
MIKKEL UNIT,2003-03-04,FROM,NULL,Fortum Petroleum AS,7.00000,NULL,1629477,102714,9999-12-31,2013-05-08
MIKKEL UNIT,2003-03-04,TO,NULL,Eni Norge AS,7.00000,NULL,1629477,2388594,9999-12-31,2013-05-08
MIKKEL UNIT,2002-01-01,FROM,NULL,Statoil ASA (old),14.90000,NULL,1629477,1622484,9999-12-31,2013-05-08
MIKKEL UNIT,2002-01-01,TO,NULL,Fortum Petroleum AS,7.00000,NULL,1629477,102714,9999-12-31,2013-05-08
MIKKEL UNIT,2002-01-01,TO,NULL,Norsk Agip  AS,7.90000,NULL,1629477,45,9999-12-31,2013-05-08
MURCHISON UNIT,2012-03-24,FROM,CHANGE OF COMPANY NAME,Wintershall Norge ASA,22.20000,NULL,42302,5442509,9999-12-31,2013-05-08
MURCHISON UNIT,2012-03-24,TO,CHANGE OF COMPANY NAME,Wintershall Norge AS,22.20000,NULL,42302,21666830,9999-12-31,2013-05-08
MURCHISON UNIT,2009-01-17,FROM,CHANGE OF COMPANY NAME,Revus Energy ASA,22.20000,NULL,42302,3431773,9999-12-31,2013-05-08
